aspell-en,2020.12.07,aspell-en-2020.12.07-11.azl3.src.rpm
cim-schema,2.54.1,cim-schema-2.54.1-5.azl3.src.rpm
cjose,0.6.2.2,cjose-0.6.2.2-5.azl3.src.rpm
cldr-emoji-annotation,46,cldr-emoji-annotation-46-1.azl3.src.rpm
colorize,0.3.4,colorize-0.3.4-22.azl3.src.rpm
compat-lua,5.1.5,compat-lua-5.1.5-26.azl3.src.rpm
console-setup,1.230,console-setup-1.230-1.azl3.src.rpm
container-exception-logger,1.0.3,container-exception-logger-1.0.3-7.azl3.src.rpm
cpptest,1.1.2,cpptest-1.1.2-25.azl3.src.rpm
cpuid,20240916,cpuid-20240916-1.azl3.src.rpm
fuse-sshfs,3.7.3,fuse-sshfs-3.7.3-10.azl3.src.rpm
glm,1.0.1,glm-1.0.1-2.azl3.src.rpm
hunspell-af,0.20080825,hunspell-af-0.20080825-32.azl3.src.rpm
hunspell-ar,3.5,hunspell-ar-3.5-23.azl3.src.rpm
hunspell-as,1.0.3,hunspell-as-1.0.3-33.azl3.src.rpm
hunspell-ast,2.0,hunspell-ast-2.0-15.azl3.src.rpm
hunspell-az,0.20180807,hunspell-az-0.20180807-5.azl3.src.rpm
hunspell-be,1.1,hunspell-be-1.1-31.azl3.src.rpm
hunspell-bg,4.3,hunspell-bg-4.3-30.azl3.src.rpm
hunspell-bn,1.0.0,hunspell-bn-1.0.0-26.azl3.src.rpm
hunspell-br,0.15,hunspell-br-0.15-17.azl3.src.rpm
hunspell-ca,3.0.8,hunspell-ca-3.0.8-4.azl3.src.rpm
hunspell-cop,0.3,hunspell-cop-0.3-29.azl3.src.rpm
hunspell-csb,0.20190319,hunspell-csb-0.20190319-5.azl3.src.rpm
hunspell-cv,1.06,hunspell-cv-1.06-17.azl3.src.rpm
hunspell-cy,0.20040425,hunspell-cy-0.20040425-34.azl3.src.rpm
hunspell-da,1.7.42,hunspell-da-1.7.42-25.azl3.src.rpm
hunspell-de,20240224,hunspell-de-20240224-2.azl3.src.rpm
hunspell-dsb,1.4.8,hunspell-dsb-1.4.8-18.azl3.src.rpm
hunspell-el,0.9,hunspell-el-0.9-17.azl3.src.rpm
hunspell-eo,0.20100218,hunspell-eo-0.20100218-16.azl3.src.rpm
hunspell-es,2.8,hunspell-es-2.8-4.azl3.src.rpm
hunspell-et,0.20030606,hunspell-et-0.20030606-35.azl3.src.rpm
hunspell-eu,5.1,hunspell-eu-5.1-12.azl3.src.rpm
hunspell-fa,0.20070116,hunspell-fa-0.20070116-35.azl3.src.rpm
hunspell-fj,1.2,hunspell-fj-1.2-31.azl3.src.rpm
hunspell-fo,0.4.2,hunspell-fo-0.4.2-24.azl3.src.rpm
