Package,New Name of Package,Additional Bulk Build Status
CharLS,NA,Built,PASSED
GConf2,NA,Built,PASSED
GeoIP,NA,Built,PASSED
GeoIP-GeoLite-data,NA,Built,PASSED
Judy,NA,Built,PASSED
LibRaw,NA,Built,PASSED
ORBit2,NA,Built,PASSED
OpenEXR,openexr,Not Found,BLOCKED
PEGTL,NA,Built,PASSED
PyGreSQL,NA,Built,PASSED
SDL,sdl12-compat,Not Found,BLOCKED
SDL2,NA,Failed,BLOCKED
SDL_sound,NA,Failed,BLOCKED
SuperLU,NA,Built,PASSED
Xaw3d,NA,Built,PASSED
a52dec,NA,Built,PASSED
accountsservice,NA,Built,PASSED
acpid,NA,Built,PASSED
adcli,NA,Built,PASSED
adobe-mappings-cmap,NA,Built,PASSED
adobe-mappings-pdf,NA,Built,PASSED
advancecomp,NA,Built,PASSED
alsa-firmware,NA,Built,PASSED
alsa-plugins,NA,Failed,BLOCKED
amtk,NA,Built,PASSED
amtterm,NA,Built,PASSED
annobin,NA,Not Found,Not Available
ansible-freeipa,NA,Failed,FAILED
aopalliance,NA,Built,PASSED
apache-commons-beanutils,NA,Built,PASSED
apache-commons-codec,NA,Failed,BLOCKED
apache-commons-collections,NA,Built,PASSED
apache-commons-collections4,NA,Failed,BLOCKED
apache-commons-compress,NA,Failed,BLOCKED
apache-commons-daemon,NA,Built,PASSED
apache-commons-dbcp,NA,Failed,BLOCKED
apache-commons-digester,NA,Failed,FAILED
apache-commons-httpclient,NA,Failed,BLOCKED
apache-commons-io,NA,Failed,BLOCKED
apache-commons-jexl,NA,Failed,BLOCKED
apache-commons-lang,NA,Failed,FAILED
apache-commons-net,NA,Failed,BLOCKED
apache-commons-pool,NA,Built,PASSED
apache-commons-pool2,NA,Failed,BLOCKED
apache-commons-validator,NA,Failed,BLOCKED
apache-commons-vfs2,apache-commons-vfs,Not Found,BLOCKED
apache-parent,NA,Built,PASSED
argparse-manpage,NA,Not Found,Not Available
args4j,NA,Failed,FAILED
arptables,NA,Built,PASSED
arpwatch,NA,Built,PASSED
asio,NA,Built,PASSED
aspell-en,NA,Built,PASSED
audiofile,NA,Built,PASSED
authselect,NA,Not Found,Not Available
babeltrace,NA,Built,PASSED
babl,NA,Built,PASSED
baekmuk-ttf-fonts,NA,Failed,BLOCKED
base64coder,NA,Built,PASSED
bats,NA,Built,PASSED
bcache-tools,NA,Built,PASSED
bcel,NA,Failed,BLOCKED
bea-stax,NA,Built,PASSED
beust-jcommander,NA,Built,PASSED
biosdevname,NA,Built,PASSED
blosc,NA,Built,PASSED
bogofilter,NA,Not Found,Not Available
bolt,NA,Built,PASSED
boom-boot,NA,Failed,FAILED
booth,NA,Failed,BLOCKED
botan2,NA,Built,PASSED
breezy,NA,Failed,BLOCKED
bsf,NA,Failed,BLOCKED
buildah,NA,Failed,FAILED
bwidget,NA,Failed,BLOCKED
