Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package,Package added to Azure Linux 3.0-dev,Newer ACTION,Newer UPGRADE,Newer BUILD_CHECK_REQD,PR Created Despite a No in Newer Upgrade decision
CharLS,Jyoti,Override_to_Y,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
GConf2,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
GeoIP,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
GeoIP-GeoLite-data,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
Judy,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
LibRaw,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
ORBit2,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
OpenEXR,Jyoti,,N,N,Y,Y,N,N,,P1,openexr,N,Y,Y,Y,N
PEGTL,Jyoti,Override_to_Y,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
PyGreSQL,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N_CorePkgVerDep,N_CorePkgVerDep,Y,Y
SDL,Jyoti,,N,N,Y,Y,N,N,,P1,sdl12-compat,N,Y,Y_DECIDED_REPLACE,Y,N
SDL2,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
SDL_sound,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
SuperLU,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
Xaw3d,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
a52dec,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
accountsservice,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
acpid,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
adcli,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA,N,N,N,Y,N
adobe-mappings-cmap,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
adobe-mappings-pdf,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
advancecomp,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
alsa-firmware,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,N,N,Y,N
alsa-plugins,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
amtk,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
amtterm,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
annobin,Jagadeesh,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
ansible-freeipa,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
aopalliance,Jagadeesh,Override_to_Y,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
apache-commons-beanutils,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
apache-commons-codec,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
apache-commons-collections,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
apache-commons-collections4,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
apache-commons-compress,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
apache-commons-daemon,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,PR_Created_NODNLDVER,Y,Y,N
apache-commons-dbcp,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
apache-commons-digester,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N,N,Y,Y
apache-commons-httpclient,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
apache-commons-io,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
apache-commons-jexl,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
apache-commons-lang,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N,N,Y,Y
apache-commons-net,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
apache-commons-pool,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
apache-commons-pool2,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,Y
apache-commons-validator,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
apache-commons-vfs2,Jagadeesh,,N,N,Y,Y,N,N,,P1,apache-commons-vfs,N,Y,Y,Y,N
apache-parent,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
argparse-manpage,Kevin,,N,N,N,N,Y,N,has been rename to python-argparse-manpage,P1,NA,N,Y_Reintroduce,Y,Y,N
args4j,Sumit,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N,N,Y,Y
arptables,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
arpwatch,Akhila,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
asio,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
aspell-en,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
audiofile,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
authselect,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,PR_Created_NODNLDVER,N,Y,Y
babeltrace,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
babl,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
baekmuk-ttf-fonts,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
base64coder,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
bats,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
bcache-tools,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
bcel,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
bea-stax,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
beust-jcommander,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
biosdevname,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
