Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package
CharLS,Jyoti,Override_to_Y,N,N,Y,Y,N,N,,P1,NA
GConf2,Jyoti,,N,N,Y,Y,N,N,,P1,NA
GeoIP,Jyoti,,N,N,Y,Y,N,N,,P1,NA
GeoIP-GeoLite-data,Jyoti,,N,N,Y,Y,N,N,,P1,NA
Judy,Jyoti,,N,N,Y,Y,N,N,,P1,NA
LibRaw,Jyoti,,N,N,Y,Y,N,N,,P1,NA
ORBit2,Jyoti,,N,N,Y,Y,N,N,,P1,NA
OpenEXR,Jyoti,,N,N,Y,Y,N,N,,P1,openexr
PEGTL,Jyoti,Override_to_Y,N,N,Y,Y,N,N,,P1,NA
PyGreSQL,Jyoti,,N,N,Y,Y,N,N,,P1,NA
SDL,Jyoti,,N,N,Y,Y,N,N,,P1,sdl12-compat
SDL2,Jyoti,,N,N,Y,Y,N,N,,P1,NA
SDL_sound,Jyoti,,N,N,Y,Y,N,N,,P1,NA
SuperLU,Jyoti,,N,N,Y,Y,N,N,,P1,NA
Xaw3d,Jyoti,,N,N,Y,Y,N,N,,P1,NA
a52dec,Jyoti,,N,N,Y,Y,N,N,,P1,NA
accountsservice,Jyoti,,N,N,Y,Y,N,N,,P1,NA
acpid,Jyoti,,N,N,Y,Y,N,N,,P1,NA
adcli,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA
adobe-mappings-cmap,Jyoti,,N,N,Y,Y,N,N,,P1,NA
adobe-mappings-pdf,Jyoti,,N,N,Y,Y,N,N,,P1,NA
advancecomp,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
alsa-firmware,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA
alsa-plugins,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
amtk,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
amtterm,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
annobin,Jagadeesh,,N,N,Y,N,N,Y,,P1,NA
ansible-freeipa,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
aopalliance,Jagadeesh,Override_to_Y,N,N,Y,Y,N,N,,P1,NA
apache-commons-beanutils,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
apache-commons-codec,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
apache-commons-collections,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
apache-commons-collections4,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
apache-commons-compress,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
apache-commons-daemon,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA
apache-commons-dbcp,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
apache-commons-digester,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
apache-commons-httpclient,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
apache-commons-io,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
apache-commons-jexl,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
apache-commons-lang,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA
apache-commons-net,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
apache-commons-pool,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
apache-commons-pool2,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
apache-commons-validator,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
apache-commons-vfs2,Jagadeesh,,N,N,Y,Y,N,N,,P1,apache-commons-vfs
apache-parent,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
argparse-manpage,Kevin,,N,N,N,N,Y,N,has been rename to python-argparse-manpage,P1,NA
args4j,Kevin,,N,N,Y,Y,N,N,,P1,NA
arptables,Kevin,,N,N,Y,Y,N,N,,P1,NA
arpwatch,Kevin,,N,N,Y,Y,N,N,,P1,NA
asio,Kevin,,N,N,Y,Y,N,N,,P1,NA
aspell-en,Kevin,,N,N,Y,Y,N,N,,P0,NA
audiofile,Kevin,,N,N,Y,Y,N,N,,P1,NA
authselect,Kevin,,N,N,Y,Y,N,N,,P1,NA
babeltrace,Kevin,,N,N,Y,Y,N,N,,P1,NA
babl,Kevin,,N,N,Y,Y,N,N,,P1,NA
baekmuk-ttf-fonts,Kevin,,N,N,Y,Y,N,N,,P1,NA
base64coder,Kevin,,N,N,Y,Y,N,N,,P1,NA
bats,Kevin,,N,N,Y,Y,N,N,,P1,NA
bcache-tools,Kevin,,N,N,Y,Y,N,N,,P1,NA
bcel,Kevin,,N,N,Y,Y,N,N,,P1,NA
bea-stax,Kevin,,N,N,Y,Y,N,N,,P1,NA
beust-jcommander,Kevin,,N,N,Y,Y,N,N,,P1,NA
biosdevname,Kevin,,N,N,Y,Y,N,N,,P1,NA
blosc,Kevin,,N,N,Y,Y,N,N,,CP_batch1,NA
bogofilter,Kevin,,N,N,N,N,Y,N,,P1,NA
bolt,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
boom-boot,Akarsh,,N,N,Y,Y,N,N,,P1,NA
booth,Akarsh,,N,N,Y,Y,N,N,,P1,NA
botan2,Akarsh,,N,N,Y,Y,N,N,,P1,NA
breezy,Akarsh,,N,N,Y,Y,N,N,,P1,NA
bsf,Akarsh,,N,N,Y,Y,N,N,,P1,NA
buildah,Akarsh,,N,N,Y,Y,N,N,,P1,NA
bwidget,Akarsh,Override_to_Y,N,N,Y,Y,N,N,,P1,NA
cachefilesd,Akarsh,,N,N,Y,Y,N,N,,P1,NA
cairomm,Akarsh,,N,N,Y,Y,N,N,,P1,NA
capstone,Akarsh,,N,N,Y,Y,N,N,,P1,NA
cassandra,Akarsh,,N,N,Y,Y,N,N,,P1,NA
catatonit,Akarsh,,N,N,Y,Y,N,N,,P1,NA
cdparanoia,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
cdrdao,Akarsh,,N,N,Y,Y,N,N,,P1,NA
celt051,Akarsh,,N,N,Y,Y,N,N,,P1,NA
certmonger,Akarsh,,N,N,Y,Y,N,N,,P1,NA
cfitsio,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
cgdcbxd,Akarsh,,N,N,Y,Y,N,N,,P1,NA
cglib,Akarsh,,N,N,Y,Y,N,N,,P1,NA
chan,Neeraj,,N,N,Y,Y,N,N,,P1,NA
cim-schema,Akarsh,,N,N,Y,Y,N,N,,P0,NA
cjkuni-uming-fonts,Neeraj,N,Y,Y,Y,Y,N,N,Since the package is inactive upstream we won't upgrade it,P1,NA
cjose,Akarsh,,N,N,Y,Y,N,N,,P0,NA
cldr-emoji-annotation,Akarsh,,Y,N,Y,Y,N,N,,P0,NA
clucene,Sumit,Override_to_Y,N,N,Y,Y,N,N,clucene wasn't building.  Fixed it's build.,P1,NA
clutter,Archana,,N,N,Y,Y,N,N,,P1,NA
clutter-gst3,Archana,,N,N,Y,Y,N,N,,P1,NA
clutter-gtk,Archana,,N,N,Y,Y,N,N,,P1,NA
cmake-fedora,Jyoti,,N,N,Y,Y,N,N,,P1,NA
cogl,Archana,,N,N,Y,Y,N,N,,P1,NA
colorize,Archana,,N,N,Y,Y,N,N,,P1,NA
compat-lua,Archana,,N,N,Y,Y,N,N,,P1,NA
console-setup,Akarsh,,N,N,Y,Y,N,N,,P0,NA
container-exception-logger,Archana,,N,N,Y,Y,N,N,,P1,NA
containernetworking-plugins,Archana,,N,N,Y,Y,N,N,,P1,NA
convmv,Archana,,N,N,Y,Y,N,N,,P1,NA
corosync,Akhila,,N,N,Y,Y,N,N,,New P0,NA
corosync-qdevice,Akhila,,N,N,Y,Y,N,N,,New P0,NA
cppcheck,Archana,,N,N,Y,Y,N,N,,P1,NA
cpptest,Archana,,N,N,Y,Y,N,N,,P1,NA
cpuid,Akarsh,,N,N,Y,Y,N,N,,P0,NA
crash-ptdump-command,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
criu,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
crypto-policies,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
cscope,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
