Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)"
CharLS,Jyoti,Override_to_Y,N,N,Y,Y,N,N,,P1
GConf2,Jyoti,,N,N,Y,Y,N,N,,P1
GeoIP,Jyoti,,N,N,Y,Y,N,N,,P1
GeoIP-GeoLite-data,Jyoti,,N,N,Y,Y,N,N,,P1
Judy,Jyoti,,N,N,Y,Y,N,N,,P1
LibRaw,Jyoti,,N,N,Y,Y,N,N,,P1
ORBit2,Jyoti,,N,N,Y,Y,N,N,,P1
OpenEXR,Jyoti,,N,N,Y,Y,N,N,,P1
PEGTL,Jyoti,Override_to_Y,N,N,Y,Y,N,N,,P1
PyGreSQL,Jyoti,,N,N,Y,Y,N,N,,P1
SDL,Jyoti,,N,N,Y,Y,N,N,,P1
SDL2,Jyoti,,N,N,Y,Y,N,N,,P1
SDL_sound,Jyoti,,N,N,Y,Y,N,N,,P1
SuperLU,Jyoti,,N,N,Y,Y,N,N,,P1
Xaw3d,Jyoti,,N,N,Y,Y,N,N,,P1
a52dec,Jyoti,,N,N,Y,Y,N,N,,P1
accountsservice,Jyoti,,N,N,Y,Y,N,N,,P1
acpid,Jyoti,,N,N,Y,Y,N,N,,P1
adcli,Jyoti,,N,N,Y,Y,N,N,,CP_batch1
adobe-mappings-cmap,Jyoti,,N,N,Y,Y,N,N,,P1
adobe-mappings-pdf,Jyoti,,N,N,Y,Y,N,N,,P1
advancecomp,Jagadeesh,,N,N,Y,Y,N,N,,P1
alsa-firmware,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1
alsa-plugins,Jagadeesh,,N,N,Y,Y,N,N,,P1
amtk,Jagadeesh,,N,N,Y,Y,N,N,,P1
amtterm,Jagadeesh,,N,N,Y,Y,N,N,,P1
annobin,Jagadeesh,,N,N,Y,N,N,Y,,P1
ansible-freeipa,Jagadeesh,,N,N,Y,Y,N,N,,P1
aopalliance,Jagadeesh,Override_to_Y,N,N,Y,Y,N,N,,P1
apache-commons-beanutils,Jagadeesh,,N,N,Y,Y,N,N,,P1
apache-commons-codec,Jagadeesh,,N,N,Y,Y,N,N,,P1
apache-commons-collections,Jagadeesh,,N,N,Y,Y,N,N,,P1
apache-commons-collections4,Jagadeesh,,N,N,Y,Y,N,N,,P1
apache-commons-compress,Jagadeesh,,N,N,Y,Y,N,N,,P1
apache-commons-daemon,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1
apache-commons-dbcp,Jagadeesh,,N,N,Y,Y,N,N,,P1
apache-commons-digester,Jagadeesh,,N,N,Y,Y,N,N,,P1
apache-commons-httpclient,Jagadeesh,,N,N,Y,Y,N,N,,P1
apache-commons-io,Jagadeesh,,N,N,Y,Y,N,N,,P1
apache-commons-jexl,Jagadeesh,,N,N,Y,Y,N,N,,P1
apache-commons-lang,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1
apache-commons-net,Jagadeesh,,N,N,Y,Y,N,N,,P1
