S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
1,bolt,Y,0.9.8,,Akarsh,PR in Review,https://github.com/microsoft/azurelinux/pull/11208,2024-11-25 0:00:00,2024-11-25 0:00:00,2024-11-25 0:00:00,Y,23-10-2024,0.9.2,0.9.2,0.9.8,https://kojipkgs.fedoraproject.org//packages/bolt/0.9.8/3.fc41/src/bolt-0.9.8-3.fc41.src.rpm,0.9.8,https://gitlab.freedesktop.org/bolt/bolt,,https://github.com/microsoft/azurelinux/pull/11208
2,boom-boot,Y,1.6.5,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/10919,2024-11-04 0:00:00,2024-11-04 0:00:00,2024-11-04 0:00:00,Y,2024-11-04 0:00:00,1.2,1.2,1.6.5,https://kojipkgs.fedoraproject.org//packages/boom-boot/1.6.5/1.fc42/src/boom-boot-1.6.5-1.fc42.src.rpm,1.6.5,boom-boot/boom-boot.spec at main · snapshotmanager/boom-boot · GitHub,,https://github.com/microsoft/azurelinux/pull/10919
3,booth,Y,1.2,,Akarsh,Not Started,,,,,N,23-10-2024,1,1,1.2,https://kojipkgs.fedoraproject.org//packages/booth/1.2/2.fc41/aarch64/booth-1.2-2.fc41.aarch64.rpm,1.2,https://github.com/ClusterLabs/booth,,
4,botan2,Y,2.19.5,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11051,2024-11-05 0:00:00,2024-11-05 0:00:00,2024-11-05 0:00:00,Y,2024-11-05 0:00:00,2.14.0,2.14.0,2.19.5,https://kojipkgs.fedoraproject.org//packages/botan2/2.19.5/4.fc41/aarch64/botan2-2.19.5-4.fc41.aarch64.rpm,2.19.5,https://botan.randombit.net/,,
5,breezy,Y,3.3.8,,Akarsh,Not Started,,,,,N,23-10-2024,3.0.2,3.0.2,3.3.8,breezy-3.3.8-1.fc41 | Build Info | koji,3.3.8,Tags · breezy-team/breezy · GitHub,,
6,bsf,N,NA,,Akarsh,Ongoing,,2024-08-10 0:00:00,2024-08-10 0:00:00,,,,2.4.0,2.4.0,2.4.0,https://kojipkgs.fedoraproject.org//packages/bsf/2.4.0/56.fc41/src/bsf-2.4.0-56.fc41.src.rpm,2.4.0,Apache Commons BSF™ - Bean Scripting Framework,,
7,buildah,Y,1.37.5,,Akarsh,Not Started,,,,,,,1.18.0,1.18.0,1.37.5,https://kojipkgs.fedoraproject.org//packages/buildah/1.37.3/2.fc42/src/buildah-1.37.3-2.fc42.src.rpm,1.37.0,Buildah Release Announcements | buildah.io,,
8,bwidget,Y,1.10.1,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11050,2024-11-05 0:00:00,2024-11-05 0:00:00,2024-11-05 0:00:00,Y,2024-11-05 0:00:00,1.9.7,1.9.7,1.9.7,https://kojipkgs.fedoraproject.org//packages/bwidget/1.9.7/23.fc41/src/bwidget-1.9.7-23.fc41.src.rpm,1.10.1,https://sourceforge.net/projects/tcllib/files/BWidget/1.10.1/,,https://github.com/microsoft/azurelinux/pull/11050
9,cachefilesd,N,NA,,Akarsh,NA-Uptodate,N/A,2024-10-18 0:00:00,2024-10-18 0:00:00,,Y,18-10-2024,0.10.10,0.10.10,0.10.10,cachefilesd-0.10.10-19.fc41 | Build Info | koji (fedoraproject.org),0.10.10,http://people.redhat.com/~dhowells/fscache/,,
10,cairomm,Y,1.14.5,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11256,2024-11-26 0:00:00,2024-11-26 0:00:00,2024-11-26 0:00:00,Y,26-11-2024,1.12.0,1.12.0,1.14.5,cairomm-1.14.5-5.fc41 | Build Info | koji (fedoraproject.org),1.18.2,https://www.cairographics.org/,,
11,capstone,Y,5.0.1,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11254,2024-11-28 0:00:00,2024-11-28 0:00:00,2024-11-28 0:00:00,Y,28-11-2024,4.0.2,4.0.2,5.0.1,capstone-5.0.1-6.fc42 | Build Info | koji (fedoraproject.org),5.0.0,http://www.capstone-engine.org/,,
12,cassandra,N,NA,,Akarsh,Ongoing,,,,,,, 4.0.10, 4.0.10,Not Available,Overview - rpms/cassandra - src.fedoraproject.org,Not Available,Overview - rpms/cassandra - src.fedoraproject.org,,
13,catatonit,N,NA,,Akarsh,NA-Uptodate,N/A,2024-10-18 0:00:00,2024-10-18 0:00:00,,Y,21-10-2024,0.1.7,0.1.7,0.1.7,\,0.2.0,https://github.com/openSUSE/catatonit,,
14,cdparanoia,N,NA,,Akarsh,NA-Uptodate,N/A,2024-10-18 0:00:00,2024-10-18 0:00:00,,Y,21-10-2024,10.2,10.2,10.2,cdparanoia-10.2-45.fc41 | Build Info | koji (fedoraproject.org),10.2,http://www.xiph.org/paranoia/index.html,,
15,cdrdao,Y,1.2.5,,Akarsh,Not Started,,,,,,,1.2.4,1.2.4,1.2.5,cdrdao-1.2.5-12.fc41 | Build Info | koji (fedoraproject.org),1.2.5,http://cdrdao.sourceforge.net/,,
16,celt051,N,N/A,,Akarsh,NA-Uptodate,N/A,,,,,,0.5.1.3,0.5.1.3,0.5.1.3,celt051-0.5.1.3-29.fc41 | Build Info | koji (fedoraproject.org),0.11.1,http://www.celt-codec.org/,,
17,certmonger,Y,0.79.20,,Akarsh,Not Started,,,,,N,28-11-2024,0.79.13,0.79.13,0.79.20,certmonger-0.79.20-2.fc41 | Build Info | koji (fedoraproject.org),0.79.20,http://pagure.io/certmonger/,,
18,cfitsio,Y,4.5.0,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11252,2024-11-28 0:00:00,2024-11-28 0:00:00,2024-11-28 0:00:00,Y,28-11-2024,4.0.0,4.0.0,4.5.0,cfitsio-4.5.0-5.fc42 | Build Info | koji (fedoraproject.org),4.5.0,http://heasarc.gsfc.nasa.gov/fitsio/,,https://github.com/microsoft/azurelinux/pull/11252
19,cgdcbxd,N,NA,,Akarsh,NA-Uptodate,N/A,2024-10-18 0:00:00,2024-10-18 0:00:00,,Y,21-10-2024,1.0.2,1.0.2,Orphan,Overview - rpms/cgdcbxd - src.fedoraproject.org,1.2.0,https://github.com/jrfastab/cgdcbxd,,
20,cglib,Y,3.3.0,,Akarsh,Ongoing,,,,,,,3.2.4,3.2.4,3.3.0,cglib-3.3.0-16.fc41 | Build Info | koji (fedoraproject.org),3.3.0,https://github.com/cglib/cglib,,
21,iso-codes,Y,4.17.0,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/10821,21-10-2024,,23-10-2024,Y,21-10-2024,4.4,4.4,4.17.0,iso-codes-4.17.0-1.fc42 | Build Info | koji (fedoraproject.org),4.17.0,https://salsa.debian.org/iso-codes-team/iso-codes,,
22,isomd5sum,Y,1.2.5,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11260,2024-11-28 0:00:00,2024-11-28 0:00:00,28-11-2024,Y,26-11-2024,1.2.3,1.2.3,1.2.5,isomd5sum-1.2.5-2.fc41 | Build Info | koji (fedoraproject.org),1.2.5,https://github.com/rhinstaller/isomd5sum,,
23,iwd,Y,3,,Akarsh,Ongoing,,,,23-10-2024,Y,21-10-2024,1.22,1.22,3,https://koji.fedoraproject.org/koji/buildinfo?buildID=2571804,3,https://git.kernel.org/pub/scm/network/wireless/iwd.git/tag/?h=3.0,,
24,jabberpy,N,NA,,Akarsh,NA-Uptodate,N/A,14-10-2024,14-10-2024,,Y,14-10-2024,0.5,0.5,Orphan,Overview - rpms/jabberpy - src.fedoraproject.org,0.5,Jabber.py download | SourceForge.net,,
25,jakarta-taglibs-standard,N,NA,,Akarsh,Ongoing,N/A,,,,N,14-10-2024,1.1.1,1.1.1,Orphan,Overview - rpms/jakarta-taglibs-standard - src.fedoraproject.org,Deprecated,Apache Taglibs - Apache Taglibs,,
26,jansi,N,NA,,Akarsh,NA-Uptodate,N/A,14-10-2024,14-10-2024,,Y,14-102024,2.4.0,2.4.0,2.4.1,jansi-2.4.1-4.fc41 | Build Info | koji (fedoraproject.org),2.4.0,http://fusesource.github.io/jansi/,,
27,jarjar,N,NA,,Akarsh,NA-Uptodate,N/A,14-10-2024,14-10-2024,,Y,14-10-2024,1.4,1.4,orphan,Overview - rpms/jarjar - src.fedoraproject.org,N/A,N/A,,
28,javacc,Y,7.0.13,,Akarsh,Not Started,,,,,N,14-10-2024,7.0.4,7.0.4,7.0.13,javacc-7.0.13-7.fc41 | Build Info | koji (fedoraproject.org),7.0.13,JavaCC | The most popular parser generator for use with Java applications.,Unbuilt in daily build status,
29,javacc-bootstrap,N,Revisit,,Akarsh,Not Started,,,,,N,14-10-2024,7.0.4,7.0.4,,,,,,
30,jbigkit,N,NA,,Akarsh,Not Started,,,,,N,14-10-2024,2.1,2.1,2.1,jbigkit-2.1-30.fc41 | Build Info | koji (fedoraproject.org),2.1,http://www.cl.cam.ac.uk/~mgk25/jbigkit/,,
31,jboss-interceptors,N,NA,,Akarsh,Not Started,,,,,N,14-10-2024,1,1,Orphan,Overview - rpms/jboss-interceptors-1.2-api - src.fedoraproject.org,1,https://github.com/jboss/jboss-interceptors-api_spec,,
32,jdepend,Y,2.1,,Akarsh,Not Started,,,,,N,23-10-2024,2.9.1,2.9.1,2.1,jdepend-2.10-12.fc41 | Build Info | koji (fedoraproject.org),2.1,https://github.com/clarkware/jdepend,,
33,jdom2,Y,2.0.6.1,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11049,2024-11-11 0:00:00,2024-11-13 0:00:00,2024-11-13 0:00:00,Y,2024-11-11 0:00:00,2.0.6,2.0.6,2.0.6.1,jdom2-2.0.6.1-9.fc41 | Build Info | koji (fedoraproject.org),,Access denied,,
34,jfsutils,N,NA,,Akarsh,NA-Uptodate,N/A,14-10-2024,14-10-2024,,Y,14-10-2024,1.1.15,1.1.15,1.1.15,jfsutils-1.1.15-28.fc41 | Build Info | koji (fedoraproject.org),1.1.15,Open source : JFS project Web site (sourceforge.net),,
35,jimtcl,Y,0.82,,Akarsh,Not Started,,,,,Y,2024-10-29 0:00:00,0.78,0.78,0.82,jimtcl-0.83-1.fc42 | Build Info | koji (fedoraproject.org),0.83,"GitHub - msteveb/jimtcl: Official repository of Jim Tcl, an open-source, small footprint implementation of Tcl",,
36,jlex,N,NA,,Akarsh,Not Started,N/A,,,,,,1.2.6,1.2.6,Orphan,Overview - rpms/jlex - src.fedoraproject.org,1.2.6,JLex: A Lexical Analyzer Generator for Java(TM) (princeton.edu),,
37,jline,Y,3.23,,Akarsh,Not Started,,,,,,,2.14.6,2.14.6,3.23,jline-3.23.0-4.fc40 | Build Info | koji (fedoraproject.org),,,,
38,jose,Y,14,,Akarsh,Not Started,,,,,N,2024-10-29 0:00:00,10,10,14,jose-14-2.fc41 | Build Info | koji (fedoraproject.org),14,https://github.com/latchset/jose,,
39,js-jquery,Y,3.7.1,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11053,2024-11-13 0:00:00,2024-11-13 0:00:00,2024-11-13 0:00:00,Y,2024-10-29 0:00:00,3.5.0,3.5.0,3.7.1,js-jquery-3.7.1-4.fc41 | Build Info | koji (fedoraproject.org),3.7.1,https://jquery.com/,,
40,jsch,N,NA,,Akarsh,Not Started,N/A,,,,,,0.1.55,0.1.55,0.1.55,jsch-0.1.55-16.fc41 | Build Info | koji (fedoraproject.org),0.1.55,"JCraft, Inc.",,
41,jsoncpp,Y,1.9.5,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11068,2024-11-14 0:00:00,2024-11-14 0:00:00,2024-11-14 0:00:00,Y,2024-10-29 0:00:00,1.9.2,1.9.2,1.9.5,jsoncpp-1.9.5-8.fc41 | Build Info | koji (fedoraproject.org),1.9.6,GitHub - open-source-parsers/jsoncpp: A C++ library for interacting with JSON.,,
42,jsoup,Y,1.18.1,,Akarsh,Ongoing,,,,,,,1.11.1,1.11.1,1.18.1,jsoup-1.18.1-2.fc41 | Build Info | koji (fedoraproject.org),1.18.1,https://jsoup.org/,,
43,jtidy,Revisit,Revisit,,Akarsh,Not Started,,,,,,,8,8,,,,,,
44,junitperf,N ,NA,,Akarsh,Not Started,N/A,,,,,,1.9.1,1.9.1,Orphan,Overview - rpms/junitperf - src.fedoraproject.org,1.9.1,GitHub - clarkware/junitperf: A collection of JUnit test decorators used to measure the performance and scalability of functionality contained within existing JUnit tests.,,
45,jzlib,N,NA,,Akarsh,Not Started,N/A,,,,,,1.1.3,1.1.3,1.1.3,jzlib-1.1.3-31.fc41 | Build Info | koji (fedoraproject.org),1.1.3,JZlib - zlib in pure Java (jcraft.com),,
46,libmodulemd1,N,NA,,Akarsh,NA-Uptodate,N/A,N/A,N/A,22-10-2024,Y,22-10-2024,1.8.16,1.8.16,1.8.16,Overview - rpms/libmodulemd1 - src.fedoraproject.org,2.15.0,https://github.com/fedora-modularity/libmodulemd,,
47,libmpcdec,Y,1.3.0,,Akarsh,Ongoing,,,,22-10-2024,,,1.2.6,1.2.6,1.3.0,libmpcdec-1.3.0^20110810svn475-2.fc42 | Build Info | koji,,,,
48,libmspub,N,N/A,,Akarsh,NA-Uptodate,N/A,22-10-2024,22-10-2024,22-10-2024,Y,22-10-2024,0.1.4,0.1.4,0.1.4,libmspub-0.1.4-33.fc41 | Build Info | koji,0.1.4,http://wiki.documentfoundation.org/DLP/Libraries/libmspub,,
49,libmtp,Y,1.1.19,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11113,2024-11-18 0:00:00,2024-11-18 0:00:00,2024-11-18 0:00:00,Y,22-10-2024,1.1.18,1.1.18,1.1.19,libmtp-1.1.19-8.fc41 | Build Info | koji,1.1.21,libmtp - Browse /libmtp/1.1.21 at SourceForge.net,,
50,libmusicbrainz5,N,N/A,,Akarsh,NA-Uptodate,N/A,,,22-10-2024,N,2024-10-22 0:00:00,5.1.0,5.1.0,5.1.0,libmusicbrainz5-5.1.0-25.fc41 | Build Info | koji,,,,
51,libmwaw,Y,0.3.22,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11138,2024-11-18 0:00:00,2024-11-19 0:00:00,2024-11-19 0:00:00,Y,2024-10-22 0:00:00,0.3.17,0.3.17,0.3.22,libmwaw-0.3.22-4.fc41 | Build Info | koji,0.3.22,libmwaw - Browse /libmwaw at SourceForge.net,,
52,libnet,Y,1.3,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11137,2024-11-18 0:00:00,2024-11-18 0:00:00,2024-11-18 0:00:00,Y,2024-10-22 0:00:00,1.2,1.2,1.3,libnet-1.3-4.fc41 | Build Info | koji,1.3,GitHub - libnet/libnet: A portable framework for low-level network packet construction,,
53,libntlm,N,N/A,,Akarsh,NA-Uptodate,N/A,N/A,N/A,22-10-2024,Y,2024-10-22 0:00:00,1.6,1.6,1.6,libntlm-1.6-10.fc41 | Build Info | koji,1.8,gsasl / Libntlm · GitLab,,
54,libnumbertext,Y,1.0.11,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11157,20-11-2024,20-11-2024,20-11-2024,Y,2024-10-22 0:00:00,1.0.5,1.0.5,1.0.11,libnumbertext-1.0.11-7.fc41 | Build Info | koji,1.0.11,"GitHub - Numbertext/libnumbertext: Number to number name and money text conversion libraries in C++, Java, JavaScript and Python & LibreOffice Calc Extension",,
55,liboauth,N,N/A,,Akarsh,NA-Uptodate,N/A,22-10-2024,22-10-2024,22-10-2024,Y,22-10-2024,1.0.3,1.0.3,1.0.3,liboauth-1.0.3-24.fc41 | Build Info | koji,1.0.3,liboauth - Browse Files at SourceForge.net,,
56,libodfgen,N,N/A,,Akarsh,NA-Uptodate,N/A,22-10-2024,22-10-2024,22-10-2024,Y,22-10-2024,0.1.8,0.1.8,0.1.8,libodfgen-0.1.8-12.fc41 | Build Info | koji,0.1.8,WordPerfect Document importer / Wiki / libodfgen,,
57,libofa,N,N/A,,Akarsh,NA-Uptodate,N/A,22-10-2024,22-10-2024,22-10-2024,Y,22-10-2024,0.9.3,0.9.3,0.9.3,libofa-0.9.3-48.fc41 | Build Info | koji,0.9.3,Google Code Archive - Long-term storage for Google Code Project Hosting.,,
58,libogg,Y,1.3.5,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11158,20-11-2024,20-11-2024,22-10-2024,Y,22-10-2024,1.3.4,1.3.4,1.3.5,libogg-1.3.5-9.fc41 | Build Info | koji,1.3.5,Ftp - /pub/xiph/releases/ogg/ :: Oregon State University Open Source Lab,,
59,liboggz,N,N/A,,Akarsh,NA-Uptodate,N/A,2024-11-18 0:00:00,2024-11-18 0:00:00,2024-11-18 0:00:00,Y,2024-11-18 0:00:00,1.1.1,1.1.1,1.1.1,liboggz-1.1.1-32.fc42 | Build Info | koji,,,,
60,liboil,N,N/A,,Akarsh,NA-Uptodate,N/A,2024-11-18 0:00:00,2024-11-18 0:00:00,22-10-2024,Y,2024-11-18 0:00:00,0.3.16,0.3.16,0.3.16,liboil-0.3.16-34.fc41 | Build Info | koji,0.3.17,Index of /download,,
61,libomxil-bellagio,N,N/A,,Akarsh,NA-Uptodate,N/A,22-10-2024,22-10-2024,22-10-2024,Y,22-10-2024,0.9.3,0.9.3,0.9.3,libomxil-bellagio-0.9.3-33.fc40 | Build Info | koji,0.9.3,http://omxil.sourceforge.net/,,
62,libopenraw,N,N/A,,Akarsh,NA-Uptodate,N/A,2024-11-18 0:00:00,2024-11-18 0:00:00,2024-11-18 0:00:00,Y,2024-11-18 0:00:00,0.1.3,0.1.3,0.1.3,libopenraw-0.1.3-18.fc41 | Build Info | koji,,,,
63,liboping,N,N/A,,Akarsh,NA-Uptodate,N/A,23-10-2024,23-10-2024,23-10-2024,Y,23-10-2024,1.10.0,1.10.0,1.10.0,Overview - rpms/liboping - src.fedoraproject.org,1.10.0,octo's ping library - noping,,
64,libosinfo,Y,1.11.0,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11159,20-11-2024,20-11-2024,23-10-2024,Y,23-10-2024,1.10.0,1.10.0,1.11.0,https://koji.fedoraproject.org/koji/buildinfo?buildID=2496905,1.11.0,https://gitlab.com/libosinfo/libosinfo/-/tags,,
65,libotf,Y,0.9.16,,Akarsh,PR Raised,https://github.com/microsoft/azurelinux/pull/11168,,,23-10-2024,,,0.9.13,0.9.13,0.9.16,https://koji.fedoraproject.org/koji/buildinfo?buildID=2496907,0.9.16,https://download.savannah.nongnu.org/releases/m17n/,,
67,libpagemaker,N,N/A,,Akarsh,NA-Uptodate,N/A,23-10-2024,23-10-2024,23-10-2024,Y,23-10-2024,0.0.4,0.0.4,0.0.4,https://koji.fedoraproject.org/koji/buildinfo?buildID=2496901,0.0.4,https://dev-www.libreoffice.org/src/libpagemaker/,,
68,libpaper,Y,2.1.1,,Akarsh,Not Started,,,,23-10-2024,,,1.1.28,1.1.28,2.1.1,https://koji.fedoraproject.org/koji/buildinfo?buildID=2496916,2.2.5,https://github.com/rrthomas/libpaper/releases/tag/v2.2.5,,
69,libpeas,Y,2.0.5,,Akarsh,Not Started,,,,23-10-2024,N,23-10-2024,1.26.0,1.26.0,2.0.5,https://koji.fedoraproject.org/koji/buildinfo?buildID=2549482,2.0.5,https://download.gnome.org/sources/libpeas/2.0/,,
70,libpfm,Y,4.13.0,,Akarsh,Not Started,,,,23-10-2024,N,23-10-2024,4.10.1,4.10.1,4.13.0,https://koji.fedoraproject.org/koji/buildinfo?buildID=2496923,4.13.0,https://perfmon2.sourceforge.net/,,
,cpuid,,,,,,https://github.com/microsoft/azurelinux/pull/11491,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11491
,cim-schema,,,,,,https://github.com/microsoft/azurelinux/pull/11486,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11486
,cldr-emoji-annotation,,,,,,https://github.com/microsoft/azurelinux/pull/11587,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11587
,hunspell-az,,,,,,https://github.com/microsoft/azurelinux/pull/11588,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11588
,hunspell-csb,,,,,,https://github.com/microsoft/azurelinux/pull/11590,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11590
,webrtc-audio-processing,,,,,,https://github.com/microsoft/azurelinux/pull/11644,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11644
,wavpack,,,,,,https://github.com/microsoft/azurelinux/pull/11645,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11645
,libpfm,,,,,,https://github.com/microsoft/azurelinux/pull/11646,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11646
,hunspell-ro,,,,,,https://github.com/microsoft/azurelinux/pull/11681,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11681
,cjose,,,,,,https://github.com/microsoft/azurelinux/pull/11488,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11488
,console-setup,,,,,,https://github.com/microsoft/azurelinux/pull/11489,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11489
,hunspell-pt,,,,,,https://github.com/microsoft/azurelinux/pull/11684,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11684
,hunspell-pl,,,,,,https://github.com/microsoft/azurelinux/pull/11685,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11685
,hunspell-nl,,,,,,https://github.com/microsoft/azurelinux/pull/11687,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11687
,hunspell-it,,,,,,https://github.com/microsoft/azurelinux/pull/11701,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11701
,hunspell-mr,,,,,,https://github.com/microsoft/azurelinux/pull/11703,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11703
,hunspell-ga,,,,,,https://github.com/microsoft/azurelinux/pull/11705,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11705
,hunspell-eu,,,,,,https://github.com/microsoft/azurelinux/pull/11707,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11707
