S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
,python-dbus-client-gen,Y,0.5.1,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11674,2024-12-23 0:00:00,2024-12-23 0:00:00,,Y,2024-10-23 0:00:00,0.4,0.4,0.5.1,https://kojipkgs.fedoraproject.org//packages/python-dbus-client-gen/0.5.1/8.fc41/src/python-dbus-client-gen-0.5.1-8.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11674
,python-dbus-python-client-gen,Y,0.8.3,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11676,2024-12-23 0:00:00,2024-12-23 0:00:00,,Y,2024-10-23 0:00:00,0.7,0.7,0.8.3,https://kojipkgs.fedoraproject.org//packages/python-dbus-python-client-gen/0.8.3/7.fc41/src/python-dbus-python-client-gen-0.8.3-7.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11676
,python-dbus-signature-pyparsing,Y,0.4.1,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11668,2024-12-23 0:00:00,2024-12-23 0:00:00,,Y,2024-10-23 0:00:00,0.03,0.4.1,0.4.1,https://kojipkgs.fedoraproject.org//packages/python-dbus-signature-pyparsing/0.4.1/9.fc41/src/python-dbus-signature-pyparsing-0.4.1-9.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11668
,python-into-dbus-python,Y,0.8.2,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11638,2024-12-19 0:00:00,2024-12-21 0:00:00,,Y,2024-10-23 0:00:00,0.07,0.8.2,0.8.2,https://kojipkgs.fedoraproject.org//packages/python-into-dbus-python/0.8.2/7.fc41/src/python-into-dbus-python-0.8.2-7.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11638
,python-justbases,Y,0.15.2,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11594,2024-12-20 0:00:00,2024-12-20 0:00:00,,Y,2024-10-23 0:00:00,0.9,0.15.2,0.15.2,https://kojipkgs.fedoraproject.org//packages/python-justbases/0.15.2/9.fc41/src/python-justbases-0.15.2-9.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11594
,python-justbytes,Y,0.15.2,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11597,2024-12-20 0:00:00,2024-12-20 0:00:00,,Y,2024-10-23 0:00:00,0.11,0.15.2,0.15.2,https://kojipkgs.fedoraproject.org//packages/python-justbytes/0.15.2/7.fc41/src/python-justbytes-0.15.2-7.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11597
,python-kmod,Y,0.9.2,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11636,2024-12-20 0:00:00,2024-12-21 0:00:00,,N,2024-10-23 0:00:00,0.9,0.9.2,0.9.2,https://kojipkgs.fedoraproject.org//packages/python-kmod/0.9.2/6.fc41/src/python-kmod-0.9.2-6.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11636
,python-pymongo,Y,4.2.0,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11637,2024-12-19 0:00:00,2024-12-21 0:00:00,,Y,2024-10-23 0:00:00,3.10.1,3.10.1,4.2.0,https://kojipkgs.fedoraproject.org//packages/python-pymongo/4.2.0/8.fc41/src/python-pymongo-4.2.0-8.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11637
,python-rpmfluff,Y,0.6.5,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11639,2024-12-19 0:00:00,2024-12-21 0:00:00,,Y,2024-10-23 0:00:00,0.5.7.1,0.5.7.1,0.6.5,https://kojipkgs.fedoraproject.org//packages/python-rpmfluff/0.6.5/3.fc41/src/python-rpmfluff-0.6.5-3.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11639
,python-rtslib,Y,2.1.76,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11700,2024-12-23 0:00:00,2024-12-24 0:00:00,,N,2024-10-23 0:00:00,2.1.fb69,2.1.fb69,2.1.76,https://kojipkgs.fedoraproject.org//packages/python-rtslib/2.1.76/9.fc41/src/python-rtslib-2.1.76-9.fc41.src.rpm,,,,
,python-simpleline,Y,1.9.0,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11586,2024-12-20 0:00:00,2024-12-20 0:00:00,,Y,2024-10-23 0:00:00,1.6,1.6,1.9.0,https://kojipkgs.fedoraproject.org//packages/python-simpleline/1.9.0/12.fc41/src/python-simpleline-1.9.0-12.fc41.src.rpm,,,,
,python-sphinxcontrib-apidoc,Y,0.3.0,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11635,2024-12-20 0:00:00,2024-12-21 0:00:00,,Y,2024-10-23 0:00:00,0.2.1,0.2.1,0.3.0,https://kojipkgs.fedoraproject.org//packages/python-sphinxcontrib-apidoc/0.3.0/14.fc41/src/python-sphinxcontrib-apidoc-0.3.0-14.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11635
