S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
1,kde-filesystem,Y,5,P0,Aninda,PR Raised,https://github.com/microsoft/azurelinux/pull/11475,2024-12-16 0:00:00,,2025-01-02 0:00:00,Y,2024-10-23 0:00:00,4,4,5,https://kojipkgs.fedoraproject.org//packages/kde-filesystem/5/4.fc41/src/kde-filesystem-5-4.fc41.src.rpm,,Not_Found,,https://github.com/microsoft/azurelinux/pull/11475
2,kernel-rt,Revisit,Revisit,,Aninda,Not Started,,,,,Y,2024-10-23 0:00:00,5.15.55.1,6.6.44.1,Not_Found,Not_Found,,Not_Found,,
3,keybinder3,N,NA,,Aninda,NA-Uptodate,,,,,Y,2024-10-23 0:00:00,0.3.2,0.3.2,0.3.2,https://kojipkgs.fedoraproject.org//packages/keybinder3/0.3.2/19.fc41/src/keybinder3-0.3.2-19.fc41.src.rpm,,https://github.com/kupferlauncher/keybinder,,
4,keycloak-httpd-client-install,Y,1.3,,Aninda,PR Raised,https://github.com/microsoft/azurelinux/pull/10878,2024-10-21 0:00:00,,2024-10-28 0:00:00,Y,2024-10-23 0:00:00,1.1,1.1,1.3,https://kojipkgs.fedoraproject.org//packages/keycloak-httpd-client-install/1.3/1.fc41/src/keycloak-httpd-client-install-1.3-1.fc41.src.rpm,1.3,https://github.com/latchset/keycloak-httpd-client-install,,
5,kronosnet,Y,1.29,,Aninda,Ongoing,,2024-11-18 0:00:00,,2024-11-18 0:00:00,N,2024-10-23 0:00:00,1.2,1.2,1.29,https://kojipkgs.fedoraproject.org//packages/kronosnet/1.29/2.fc41/src/kronosnet-1.29-2.fc41.src.rpm,,Not_Found,"Build Failed(as of 10/14) , Buildrequires: doxygen and doxygen2man , doxygen build is failing, doxygen is part of core pkgs",
6,kyotocabinet,Y,1.2.80,,Aninda,PR Raised,https://github.com/microsoft/azurelinux/pull/10802,2024-10-15 0:00:00,,2024-10-21 0:00:00,Y,2024-10-23 0:00:00,1.2.78,1.2.78,1.2.80,https://kojipkgs.fedoraproject.org//packages/kyotocabinet/1.2.80/6.fc41/src/kyotocabinet-1.2.80-6.fc41.src.rpm,1.2.80,https://dbmx.net/kyotocabinet/,,
7,ladspa,Y,1.17,,Aninda,PR Raised,https://github.com/microsoft/azurelinux/pull/10966,2024-11-06 0:00:00,,2024-11-07 0:00:00,Y,2024-10-23 0:00:00,1.13,1.13,1.17,https://kojipkgs.fedoraproject.org//packages/ladspa/1.17/5.fc41/src/ladspa-1.17-5.fc41.src.rpm,1.17,http://www.ladspa.org/,,
8,lame,N,NA,,Aninda,NA-Uptodate,,,,,Y,2024-10-23 0:00:00,3.1,3.1,3.1,https://kojipkgs.fedoraproject.org//packages/lame/3.100/18.fc41/src/lame-3.100-18.fc41.src.rpm,,http://lame.sourceforge.net/,,
9,langtable,Y,0.0.68,,Aninda,PR Raised,https://github.com/microsoft/azurelinux/pull/10886,2024-10-28 0:00:00,,2024-10-29 0:00:00,Y,2024-10-23 0:00:00,0.0.53,0.0.53,0.0.68,https://kojipkgs.fedoraproject.org//packages/langtable/0.0.68/2.fc41/src/langtable-0.0.68-2.fc41.src.rpm,0.0.68,https://github.com/mike-fabian/langtable,,
10,lasso,Y,2.8.2,,Aninda,Ongoing,,2024-11-22 0:00:00,,2024-12-04 0:00:00,N,2024-10-23 0:00:00,2.8.0,2.8.0,2.8.2,https://kojipkgs.fedoraproject.org//packages/lasso/2.8.2/14.fc41/src/lasso-2.8.2-14.fc41.src.rpm,,https://lasso.entrouvert.org/,local build is fine but check is failing,
