S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
1,sbc,Y,2,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11821,2025-01-08 0:00:00,2025-01-08 0:00:00,2025-01-08 0:00:00,Y,2025-01-08 0:00:00,1.4,1.4,2,https://kojipkgs.fedoraproject.org//packages/sbc/2.0/5.fc41/src/sbc-2.0-5.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11821
2,scl-utils,Y,2.0.3,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11898,2025-01-08 0:00:00,2025-01-14 0:00:00,2025-01-14 0:00:00,Y,2025-01-14 0:00:00,2.0.2,2.0.2,2.0.3,https://kojipkgs.fedoraproject.org//packages/scl-utils/2.0.3/4.fc41/src/scl-utils-2.0.3-4.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11898
3,sdparm,Y,1.12,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11822,2025-01-08 0:00:00,2025-01-08 0:00:00,2025-01-08 0:00:00,Y,2025-01-08 0:00:00,1.11,1.11,1.12,https://kojipkgs.fedoraproject.org//packages/sdparm/1.12/8.fc41/src/sdparm-1.12-8.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11822
4,sip,Y,4.19.25,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11837,2025-01-08 0:00:00,2025-01-09 0:00:00,2025-01-09 0:00:00,Y,2025-01-09 0:00:00,4.19.21,4.19.21,4.19.25,https://kojipkgs.fedoraproject.org//packages/sip/4.19.25/12.fc41/src/sip-4.19.25-12.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11837
5,skkdic,Y,20240131,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11834,2025-01-08 0:00:00,2025-01-09 0:00:00,2025-01-09 0:00:00,Y,2025-01-09 0:00:00,20210217,20210217,20240131,https://kojipkgs.fedoraproject.org//packages/skkdic/20240131/2.gitb798a46b88.fc41/src/skkdic-20240131-2.gitb798a46b88.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11834
6,slirp4netns,Y,,P0,Archana,Ongoing,,2025-01-13 0:00:00,,,,,,,,,,,Failed to fetch packages in graphpkgfetcher,
7,soundtouch,Y,2.3.3,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11835,2025-01-09 0:00:00,2025-01-09 0:00:00,2025-01-09 0:00:00,Y,2025-01-09 0:00:00,2.1.1,2.1.1,2.3.3,https://kojipkgs.fedoraproject.org//packages/soundtouch/2.3.3/1.fc41/src/soundtouch-2.3.3-1.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11835
8,spausedd,Y,20210719,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11843,2025-01-10 0:00:00,2025-01-10 0:00:00,2025-01-10 0:00:00,Y,2025-01-10 0:00:00,20201112,20201112,20210719,https://kojipkgs.fedoraproject.org//packages/spausedd/20210719/9.fc41/src/spausedd-20210719-9.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11843
9,speexdsp,Y,1.2.1,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11844,2025-01-10 0:00:00,2025-01-10 0:00:00,2025-01-10 0:00:00,Y,2025-01-10 0:00:00,1.2.0,1.2.0,1.2.1,https://kojipkgs.fedoraproject.org//packages/speexdsp/1.2.1/7.fc41/src/speexdsp-1.2.1-7.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11844
10,spice-protocol,Y,0.14.4,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11847,2025-01-10 0:00:00,2025-01-10 0:00:00,2025-01-10 0:00:00,Y,2025-01-10 0:00:00,0.14.3,0.14.3,0.14.4,https://kojipkgs.fedoraproject.org//packages/spice-protocol/0.14.4/6.fc41/src/spice-protocol-0.14.4-6.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11847
11,taglib,Y,1.13.1,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11848,2025-01-10 0:00:00,2025-01-10 0:00:00,2025-01-10 0:00:00,Y,2025-01-10 0:00:00,1.13.1,1.13.1,1.12,https://kojipkgs.fedoraproject.org//packages/taglib/1.12/11.fc41/src/taglib-1.12-11.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11848
12,targetcli,Y,2.1.58,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11882,2025-01-10 0:00:00,2025-01-13 0:00:00,2025-01-13 0:00:00,Y,2025-01-13 0:00:00,2.1.53,2.1.53,2.1.58,https://kojipkgs.fedoraproject.org//packages/targetcli/2.1.58/3.fc41/src/targetcli-2.1.58-3.fc41.src.rpm,,,In draft,https://github.com/microsoft/azurelinux/pull/11882
13,teckit,Y,2.5.12,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11880,2025-01-13 0:00:00,2025-01-13 0:00:00,2025-01-13 0:00:00,Y,2025-01-13 0:00:00,2.5.9,2.5.9,2.5.12,https://kojipkgs.fedoraproject.org//packages/teckit/2.5.12/3.fc41/src/teckit-2.5.12-3.fc41.src.rpm,,,In draft,https://github.com/microsoft/azurelinux/pull/11880
14,tn5250,Y,0.17.6,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11893,2025-01-13 0:00:00,2025-01-13 0:00:00,2025-01-13 0:00:00,Y,2025-01-13 0:00:00,0.17.4,0.17.4,0.17.6,https://kojipkgs.fedoraproject.org//packages/tn5250/0.17.6/3.fc41/src/tn5250-0.17.6-3.fc41.src.rpm,,,In draft,https://github.com/microsoft/azurelinux/pull/11893
15,tss2,Y,2.3.2,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11883,2025-01-13 0:00:00,2025-01-13 0:00:00,2025-01-13 0:00:00,Y,2025-01-13 0:00:00,1331,1331,2.3.2,https://kojipkgs.fedoraproject.org//packages/tss2/2.3.2/1.fc41/src/tss2-2.3.2-1.fc41.src.rpm ,,,In draft,https://github.com/microsoft/azurelinux/pull/11883
16,twolame,Y,0.4.0,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11885,2025-01-13 0:00:00,2025-01-13 0:00:00,2025-01-13 0:00:00,Y,2025-01-13 0:00:00,0.3.13,0.3.13,0.4.0,https://kojipkgs.fedoraproject.org//packages/twolame/0.4.0/5.fc41/src/twolame-0.4.0-5.fc41.src.rpm,,,In draft,https://github.com/microsoft/azurelinux/pull/11885
17,uchardet,Y,0.0.8,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11887,2025-01-13 0:00:00,2025-01-13 0:00:00,2025-01-13 0:00:00,Y,2025-01-13 0:00:00,0.0.6,0.0.6,0.0.8,https://kojipkgs.fedoraproject.org//packages/uchardet/0.0.8/6.fc41/src/uchardet-0.0.8-6.fc41.src.rpm,,,In draft,https://github.com/microsoft/azurelinux/pull/11887
18,udftools,Y,2.3,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11888,2025-01-13 0:00:00,2025-01-13 0:00:00,2025-01-13 0:00:00,Y,2025-01-13 0:00:00,2.1,2.1,2.3,https://kojipkgs.fedoraproject.org//packages/udftools/2.3/9.fc41/src/udftools-2.3-9.fc41.src.rpm,,,In draft,https://github.com/microsoft/azurelinux/pull/11888
19,xterm,Y,395,P0,Archana,PR Raised ,https://github.com/microsoft/azurelinux/pull/11892,2025-01-13 0:00:00,2025-01-13 0:00:00,2025-01-13 0:00:00,Y,2025-01-13 0:00:00,380,380,395,https://kojipkgs.fedoraproject.org//packages/xterm/393/1.fc41/src/xterm-393-1.fc41.src.rpm,,,In draft,https://github.com/microsoft/azurelinux/pull/11892
20,rarian,Y,,NewP0,Archana,Started,,2025-01-14 0:00:00,,,,,,,,,,,Test failure analysis,
21,rubygem-rspec-support,Y,,NewP0,Archana,,,,,,,,,,,,,,,
22,tk,Y,,NewP0,Archana,,,,,,,,,,,,,,,
23,tlog,Y,,NewP0,Archana,,,,,,,,,,,,,,,
24,yelp-tools,Y,,NewP0,Archana,,,,,,,,,,,,,,,
25,yelp-xsl,Y,,NewP0,Archana,,,,,,,,,,,,,,,
