S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
1,advancecomp,Y,2.6,,Jagadeesh,PR in Review,https://github.com/microsoft/azurelinux/pull/10697,2024-10-03 0:00:00,2024-10-11 0:00:00,2024-10-10 0:00:00,N,2024-09-30 0:00:00,2.5,2.5.1,2.6,"https://src.fedoraproject.org/rpms/advancecomp
Fedora 42 Release
https://koji.fedoraproject.org/koji/buildinfo?buildID=2488694",2.6,"https://www.advancemame.it/
https://github.com/amadvance/advancecomp/releases/tag/v2.6","This package having one error as shown below Before making changes in 3.0Branch.
i)Number of unresolved dependencies: 10.
ii)Number of blocked SRPMs: 1
So, i started this same build in 2.0 Branch.
iii) Extended Build pieline showing as Success on 02-Oct-2024 Date as package name advancecomp-2.5-1.
[11-Oct-2024]:
iv) This package having Dependencies(3) like
 a.libdeflate:C:'>='V:'1.19'
 b.pkgconfig(libdeflate):C:'>='V:'1.19'
 c.zopfli-devel:C:''V:''
 So, after resolving this we can able to upgrade this package.
v) Status: Done",
2,alsa-firmware,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-07 0:00:00,2024-10-07 0:00:00,2024-10-07 0:00:00,Y,2024-10-06 0:00:00,1.2.4,1.2.4,1.2.4,"https://src.fedoraproject.org/rpms/alsa-firmware
Fedora 42 Release
https://koji.fedoraproject.org/koji/buildinfo?buildID=2488763",1.2.4,http://www.alsa-project.org/ ftp://ftp.alsa-project.org/pub/firmware/%{name}-%{version}.tar.bz2,"Both Fedora and the upstream sources lack a direct URL for downloading the tar.gz source file.
[08-Oct-2024]
This package ""alsa-firmware-1.2.4-8.azl3.noarch.rpm"" has been built. And we can see output in output/RPMS/noarch/.
NA-Uptodate.",
3,alsa-plugins,Y,1.2.12,,Jagadeesh,Ongoing,,2024-10-07 0:00:00,,2024-12-09 0:00:00,N,2024-10-06 0:00:00,1.2.7.1,1.2.7.1,1.2.12,"https://src.fedoraproject.org/rpms/alsa-plugins
Fedora 42 Release
https://koji.fedoraproject.org/koji/buildinfo?buildID=2488768",1.2.12,"http://www.alsa-project.org/
ftp://ftp.alsa-project.org/pub/plugins/%{name}-%{version}.tar.bz2","[05-Dec-2024]: alsa-plugins package have dependency on multiple dependent package depedencies to build the mariner version only.
However, this package has been built with default mariner version with some dependencies.
The latest version is having dependencies on the following packegs, which are not available in mariner.
ffmpeg-free-devel, jack-audio-connection-kit-devel, libavtp-devel.",
4,amtk,Y,5.6.1,,Jagadeesh,Ongoing,,2024-10-07 0:00:00,,,N,2024-10-02 0:00:00,5.0.2,5.0.2,5.6.1,"https://src.fedoraproject.org/rpms/amtk
Fedora 42 Release
https://koji.fedoraproject.org/koji/buildinfo?buildID=2488797",5.6.1,"https://wiki.gnome.org/Projects/Amtk
https://download.gnome.org/sources/amtk/5.6/amtk-%{version}.tar.xz",,
5,amtterm,N,NA,,Jagadeesh,NA-Uptodate,,03-0ct-24,2024-10-04 0:00:00,2024-10-04 0:00:00,Y,2024-10-02 0:00:00,1.6,1.6,1.6,"https://src.fedoraproject.org/rpms/amtterm
Fedora 42 Release
https://koji.fedoraproject.org/koji/buildinfo?buildID=2488795",1.6,http://www.kraxel.org/blog/linux/amtterm/,"all versions are same in 2.0,3.0,fedora and upstream.
And daily pipline version also same.
I built this package ""amtterm-1.6-10.azl3.x86_64.rpm"" Manually, during this build this package having dependancy with package name ""/noarch/xdg-utils-1.1.3-7.azl3.src.rpm.log"".
[08-Oct-2024]
After xdg-utils package only amtterm working.
So, i gave script as -p ""xdg-utils amtterm"".
Then build is working without errors.
[08-Oct-2024]:
NA-Uptodate",
6,annobin,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-01 0:00:00,2024-10-03 0:00:00,2024-10-03 0:00:00,N,2024-10-02 0:00:00,9.27,12.49,12.7,"https://src.fedoraproject.org/rpms/annobin
Fedora 42 Release
https://koji.fedoraproject.org/koji/buildinfo?buildID=2526150",12.7,https://sourceware.org/annobin/,"It is a core package existing in SPEC of 3.0-dev branch.
No entries availabel in SPEC-EXTENDED/annobin/ directory.
NA-Uptodate.",
7,ansible-freeipa,Y,1.13.2,,Jagadeesh,PR Raised,https://github.com/microsoft/azurelinux/pull/11028,2024-10-04 0:00:00,2024-11-12 0:00:00,2024-10-06 0:00:00,Y,2024-10-06 0:00:00,0.3.4,0.3.4,1.13.2,"https://src.fedoraproject.org/rpms/ansible-freeipa
Fedora 42 Release
https://koji.fedoraproject.org/koji/buildinfo?buildID=2488885",1.13.2,https://github.com/freeipa/ansible-freeipa https://github.com/freeipa/ansible-freeipa/archive/v%{version}.tar.gz,"[12-Nov-2024]: Hi,
I updated ""python"" to ""python3"" in the ""utils/build-galaxy-release.sh"" file.
And commented out the ""BuildRequires: ansible-core"" package in spec file.
Note: ansible-core package not available in mariner currently.
So, This is the reason, i commented this dependency line.",
8,aopalliance,N,NA,,Jagadeesh,PR in Review,https://github.com/microsoft/azurelinux/pull/10671,2024-10-07 0:00:00,2024-10-08 0:00:00,2024-10-09 0:00:00,N,2024-10-06 0:00:00,1,1,1,"https://src.fedoraproject.org/rpms/aopalliance
Fedora 42 Release
https://koji.fedoraproject.org/koji/buildinfo?buildID=2488890",1,http://aopalliance.sourceforge.net/,"[07-10-2024]
After try to built this package Manually shows a java error as shown below.
""[javac] error: Target option 6 is no longer supported. Use 7 or later.""""
[07-10-2024]
So, i did change in from 1.6 to 1.7 in spec file, then it is working.
[08-10-2024]
1.8 has been kept in spec file.
Due to latest one.
[09-Oct-2024]:
This is package dont have any Issues after git pull on 9th-Oct.
So, no need of PR.
Done.
[30-Dec-2024]:The PR is a leaf PR which builds alone successfully.",https://github.com/microsoft/azurelinux/pull/10671
9,apache-commons-beanutils,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-07 0:00:00,2024-10-08 0:00:00,2024-10-08 0:00:00,Y,2024-10-06 0:00:00,1.9.4,1.9.4,1.9.4,"https://src.fedoraproject.org/rpms/apache-commons-beanutils
Fedora 42 Release
https://koji.fedoraproject.org/koji/buildinfo?buildID=2516657",1.9.4,"http://commons.apache.org/beanutils
https://www.apache.org/dist/commons/%{base_name}/source/%{short_name}-%{version}-src.tar.gz","[07-Oct-2024]
Build success in Daily Build on 06-Oct-2024.
NA-Uptodate",
10,apache-commons-codec,Y,1.17.1,,Jagadeesh,Ongoing,,2024-11-11 0:00:00,,,Y,2024-10-06 0:00:00,1.15,1.15,1.17.1,"https://src.fedoraproject.org/rpms/apache-commons-codec
Fedora 42 Release
https://koji.fedoraproject.org/koji/buildinfo?buildID=2488895",1.17.1,"https://commons.apache.org/codec/
https://commons.apache.org/codec/download_codec.cgi",,
