S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link,
1,CharLS,Y,2.4.2,,Jyoti,Done-Upgrade,https://github.com/microsoft/azurelinux/pull/10532,22-09-2024,24-09-2024,,Y,02-10-2024,2.0.0,2.0.0,2.4.2,"https://src.fedoraproject.org/rpms/CharLS
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2487962
",2.4.2,"https://github.com/team-charls/charls/ 

https://github.com/team-charls/charls/tags


The 2.4.2 tar.gz:

https://github.com/team-charls/charls/releases/tag/2.4.2",Upgrade done,,
2,GConf2,N,NA,,Jyoti,NA-Uptodate,,20-09-2024,20-09-2024,,Y,02-10-2024,3.2.6,3.2.6,3.2.6,"https://src.fedoraproject.org/rpms/GConf2
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2487990",3.2.6,"https://download.gnome.org/sources/GConf/3.2/
",,,
3,GeoIP,N,NA,,Jyoti,NA-Uptodate,,19-09-2024,19-09-2024,,Y,02-10-2024,1.6.12,1.6.12,1.6.12,"https://src.fedoraproject.org/rpms/GeoIP
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2488004",1.6.12,"https://src.fedoraproject.org/rpms/GeoIP

Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2488004",,,
4,GeoIP-GeoLite-data,N,NA,,Jyoti,NA-Uptodate,,19-09-2024,19-09-2024,,Y,02-10-2024,2018.06,2018.06,2018.06,"https://src.fedoraproject.org/rpms/GeoIP-GeoLite-data
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2487997",,,,,
5,Judy,N,NA,,Jyoti,NA-Uptodate,,19-09-2024,19-09-2024,,Y,02-10-2024,1.0.5,1.0.5,1.0.5,"https://src.fedoraproject.org/rpms/Judy
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2488017",1.0.5,https://sourceforge.net/projects/judy/files/judy/,,,
6,LibRaw,Y,0.21.3,,Jyoti,PR in Review,https://github.com/microsoft/azurelinux/pull/10618,27-09-2024,30-09-2024,,Y,02-10-2024,0.19.5,0.19.5,0.21.3,"https://src.fedoraproject.org/rpms/LibRaw
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2550171",0.21.3,Download | LibRaw,,https://github.com/microsoft/azurelinux/pull/10618,
7,ORBit2,N,NA,,Jyoti,NA-Uptodate,,20-09-2024,20-09-2024,,Y,02-10-2024,2.14.19,2.14.19,2.14.19,"https://src.fedoraproject.org/rpms/ORBit2

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2488100",2.14.19,Index of /sources/ORBit2/2.14/ (gnome.org),,,
8,OpenEXR,Y,3.2.4,,Jyoti,Not Started,,,,,Y,02-10-2024,2.3.0,2.3.0,3.2.4,"https://src.fedoraproject.org/rpms/openexr
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2499123",,https://github.com/AcademySoftwareFoundation/openexr/releases/download/v3.2.4/openexr-v3.2.4.tar.gz,,,
9,PEGTL,Y,3.2.8,,Jyoti,PR in Review,https://github.com/microsoft/azurelinux/pull/10695,08-10-2024,08-10-2024,11-10-2024,Y,02-10-2024,2.8.3,2.8.3,2.8.3,"https://src.fedoraproject.org/rpms/PEGTL

Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2488113",3.2.8,https://github.com/taocpp/PEGTL/archive/refs/tags/3.2.8.tar.gz,,https://github.com/microsoft/azurelinux/pull/10695,
10,PyGreSQL,Y,6.0.1,,Jyoti,PR in Review,https://github.com/microsoft/azurelinux/pull/10544,24-09-2024,25-09-2024,,Y,02-10-2024,5.2.2,5.2.2,6.0.1,"https://src.fedoraproject.org/rpms/PyGreSQL

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2488081",6.0.1,"https://github.com/PyGreSQL/PyGreSQL/releases/tag/6.0.1
",,,
