S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
6,aspell-en,N,NA,P0,Kevin,Not Started,,,,,Y,,2019.10.06,2019.10.06,0.60.8.1-2fc41,Overview - rpms/aspell - src.fedoraproject.org,0.60.8.1,http://aspell.net/,,
86,perl-Devel-CallChecker,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11498,2024-12-16 0:00:00,,2024-12-17 0:00:00,Y,2024-12-16 0:00:00,0.008,0.008,0.009,https://src.fedoraproject.org/rpms/Y,0.009,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11498
87,perl-Devel-Size,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11500,2024-12-17 0:00:00,,2024-12-17 0:00:00,Y,2024-12-16 0:00:00,0.83,0.83,0.84,https://src.fedoraproject.org/rpms/Y,0.84,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11500
88,perl-Digest-CRC,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11501,2024-12-17 0:00:00,,2024-12-17 0:00:00,Y,2024-12-16 0:00:00,0.22.2,0.22.2,0.24,https://src.fedoraproject.org/rpms/Y,0.24,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11501
89,perl-DynaLoader-Functions,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11509,2024-12-17 0:00:00,,2024-12-17 0:00:00,Y,2024-12-16 0:00:00,0.003,0.003,0.004,https://src.fedoraproject.org/rpms/Y,0.004,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11509
90,perl-Email-Address,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11532,2024-12-17 0:00:00,,2024-12-18 0:00:00,Y,2024-12-16 0:00:00,1.912,1.912,1.913,https://src.fedoraproject.org/rpms/Y,1.913,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11532
91,perl-Email-Date-Format,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11533,2024-12-18 0:00:00,,2024-12-18 0:00:00,Y,2024-12-16 0:00:00,1.005,1.005,1.008,https://src.fedoraproject.org/rpms/Y,1.008,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11533
92,perl-Event,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11534,2024-12-18 0:00:00,,2024-12-18 0:00:00,Y,2024-12-16 0:00:00,1.27,1.27,1.28,https://src.fedoraproject.org/rpms/Y,1.28,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11534
93,perl-Exception-Class,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11579,2024-12-18 0:00:00,,2024-12-19 0:00:00,Y,2024-12-16 0:00:00,1.44,1.44,1.45,https://src.fedoraproject.org/rpms/Y,1.45,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11579
94,perl-ExtUtils-Config,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11582,2024-12-19 0:00:00,,2024-12-19 0:00:00,Y,2024-12-16 0:00:00,0.008,0.008,0.010,https://src.fedoraproject.org/rpms/Y,0.010,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11582
95,perl-ExtUtils-Helpers,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11624,2024-12-19 0:00:00,,2024-12-20 0:00:00,Y,2024-12-16 0:00:00,0.026,0.026,0.028,https://src.fedoraproject.org/rpms/Y,0.028,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11624
96,perl-ExtUtils-InstallPaths,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11625,2024-12-20 0:00:00,,2024-12-20 0:00:00,Y,2024-12-16 0:00:00,0.012,0.012,0.014,https://src.fedoraproject.org/rpms/Y,0.014,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11625
97,perl-File-ReadBackwards,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11626,2024-12-20 0:00:00,,2024-12-20 0:00:00,Y,2024-12-16 0:00:00,1.05,1.05,1.06,https://src.fedoraproject.org/rpms/Y,1.06,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11626
98,perl-File-Remove,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11691,2024-12-20 0:00:00,,2024-12-23 0:00:00,Y,2024-12-16 0:00:00,1.58,1.58,1.61,https://src.fedoraproject.org/rpms/Y,1.61,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11691
99,perl-File-ShareDir-Install,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11693,2024-12-23 0:00:00,,2024-12-23 0:00:00,Y,2024-12-16 0:00:00,0.13,0.13,0.14,https://src.fedoraproject.org/rpms/Y,0.14,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11693
