S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
1,chan,N,NA,,Neeraj,NA-Uptodate,,2024-10-03 0:00:00,2024-10-03 0:00:00,,Y,2024-10-03 0:00:00,0.0.4,0.0.4,0.0.4,https://kojipkgs.fedoraproject.org//packages/chan/0.0.4/13.fc41/src/chan-0.0.4-13.fc41.src.rpm,0.0.4,"https://github.com/tylertreat/chan

https://github.com/tylertreat/chan/archive/refs/tags/0.0.4.tar.gz",,
2,cim-schema,Y,2.54,,Neeraj,Not Started,,,,,Y,2024-10-03 0:00:00,2.43.0,2.43.0,2.54.1,https://kojipkgs.fedoraproject.org//packages/cim-schema/2.54.1/5.fc41/src/cim-schema-2.54.1-5.fc41.src.rpm,2.55.0,"http://www.dmtf.org/

https://www.dmtf.org/standards/cim/cim_schema_v2550",,
3,cjkuni-uming-fonts,Y,0.2.20080216.2,,Neeraj,Not Started,,,,,N,2024-10-03 0:00:00,0.2.20080216.1,0.2.20080216.1,0.2.20080216.2,"https://koji.fedoraproject.org/koji/buildinfo?buildID=2489684

https://kojipkgs.fedoraproject.org//packages/cjkuni-uming-fonts/0.2.20080216.2/6.fc41/src/cjkuni-uming-fonts-0.2.20080216.2-6.fc41.src.rpm",0.2.20080216.1,"http://deb.debian.org/debian/pool/main/f/fonts-arphic-uming

http://ftp.debian.org/debian/pool/main/f/fonts-arphic-uming/fonts-arphic-uming_0.2.20080216.2.orig.tar.bz2

http://www.freedesktop.org/wiki/Software/CJKUnifonts

https://www.freedesktop.org/wiki/Software/CJKUnifonts/Download/

https://kojipkgs.fedoraproject.org//packages/cjkuni-uming-fonts/0.2.20080216.2/6.fc41/src/cjkuni-uming-fonts-0.2.20080216.2-6.fc41.src.rpm


http://ftp.debian.org/debian/pool/main/t/ttf-arphic-uming/ttf-arphic-uming_%{version}.orig.tar.gz","Points to note:
1. The upstream version is behind the Fedora sources version.  
2. The Upstream also says that the project is Inactive(See ""Inactive projects"" section of https://www.freedesktop.org/wiki/Software/).

On 23 Oct it was decided that we will upgrade it to 0.2.20080216.2.
Despite the upstream being inactive (See ""Inactive projects section of ""https://www.freedesktop.org/wiki/Software/""), we are not removing it because removing a font package may have some effects like other packages depend upon it.",
4,cjose,Y,0.6.2.3,,Neeraj,Not Started,,,,,N,2024-10-14 0:00:00,0.6.1-6,0.6.1-6,0.6.2.2,https://kojipkgs.fedoraproject.org//packages/cjose/0.6.2.2/5.fc41/src/cjose-0.6.2.2-5.fc41.src.rpm,0.6.2.3,"https://github.com/OpenIDC/cjose

https://github.com/OpenIDC/cjose/releases

https://github.com/OpenIDC/cjose/releases/tag/v0.6.2.3",,
5,cldr-emoji-annotation,Y,Revisit,,Neeraj,Not Started,,,,,Y,2024-10-14 0:00:00,37.0_13.0_0_1-2,37.0_13.0_0_1-2,46~beta1-1,https://kojipkgs.fedoraproject.org//packages/cldr-emoji-annotation/46~beta1/1.fc42/src/cldr-emoji-annotation-46~beta1-1.fc42.src.rpm,45,"https://cldr.unicode.org/

https://github.com/unicode-org/cldr

https://github.com/unicode-org/cldr/releases

https://github.com/unicode-org/cldr/releases/tag/release-45","On Upstream (as seen on github) 45 seems to be the latest stable release.  46~beta is not the stable release.

Therefore, instead of 46~beta from Fedora sources we must use 45 from the upstream on github.",
6,clucene,,,,Neeraj,Not Started,,,,,N,2024-10-14 0:00:00,2.3.3.4-39,2.3.3.4-39,2.3.3.4-49,,,,,
7,clutter,,,,Neeraj,Not Started,,,,,Y,2024-10-14 0:00:00,1.26.4-10,1.26.4-10,,,,,,
8,clutter-gst3,,,,Neeraj,Not Started,,,,,Y,2024-10-14 0:00:00,3.0.27-15,3.0.27-15,,,,,,
9,clutter-gtk,,,,Neeraj,Not Started,,,,,Y,2024-10-14 0:00:00,1.8.4-15,1.8.4-15,,,,,,
11,cogl,,,,Neeraj,Not Started,,,,,Y,2024-10-14 0:00:00,1.22.8-7,1.22.8-7,,,,,,
