S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
001,crash-ptdump-command,N,NA,,Sreenivasulu,NA-Uptodate,NA,2024-10-04 0:00:00,2024-10-04 0:00:00,2024-10-04 0:00:00,"Y
",2024-10-06 0:00:00,1.0.7,1.0.7,---,No Fedora Source found,1.0.7,"github source:

https://github.com/crash-utility/crash-extensions/blob/master

https://github.com/crash-utility/crash-extensions/blob/master/ptdump-1.0.7.tar.gz
","No Upgrade is required.

No Fedora sources were found",
002,criu,Y,4.0,,Sreenivasulu,Ongoing,,2024-11-25 0:00:00,,,"N
",2024-10-06 0:00:00,3.15,3.15,4,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2570205

https://kojipkgs.fedoraproject.org//packages/criu/4.0/2.fc41/src/criu-4.0-2.fc41.src.rpm",4,"github Source:

http://github.com/checkpoint-restore/criu

http://github.com/checkpoint-restore/criu/archive/v4.0/criu-4.0.tar.gz",3.0-dev Daily Build status  is 'No',
003,crypto-policies,Y,20240927,,Sreenivasulu,Ongoing,,2024-10-07 0:00:00,,2024-11-25 0:00:00,"N
",2024-10-06 0:00:00,20200619,20200619,20240927,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2576095

https://kojipkgs.fedoraproject.org//packages/crypto-policies/20241029/1.git8baf557.fc41/src/crypto-policies-20241029-1.git8baf557.fc41.src.rpm",---,"github Source:

https://gitlab.com/redhat-crypto/fedora-crypto-policies

https://gitlab.com/redhat-crypto/fedora-crypto-policies/-/archive/f32-updates/fedora-crypto-policies-f32-updates.tar.gz",3.0-dev Daily Build status  is 'No',
004,cscope,N,NA,,Sreenivasulu,NA-Uptodate,NA,2024-10-07 0:00:00,2024-10-07 0:00:00,2024-10-07 0:00:00,"Y
",2024-10-06 0:00:00,15.9,15.9,15.9,"Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2521502

https://kojipkgs.fedoraproject.org//packages/cscope/15.9/26.fc41/src/cscope-15.9-26.fc41.src.rpm",15.9,"URL:

https://sourceforge.net/projects/cscope/

https://sourceforge.net/projects/cscope/files/cscope/v15.9/cscope-15.9.tar.gz
",No Upgrade is required.,
005,custodia,N,NA,,Sreenivasulu,NA-Uptodate,NA,2024-10-07 0:00:00,2024-10-07 0:00:00,2024-10-07 0:00:00,"Y
",2024-10-06 0:00:00,0.6.0,0.6.0,0.6.0,"https://src.fedoraproject.org/rpms/custodia

Fedora 42 Source:

https://koji.fedoraproject.org/koji/rpminfo?rpmID=26428717
",0.6.0,"github source:

https://github.com/latchset/custodia

https://github.com/latchset/custodia/releases/download/v0.6.0/custodia-0.6.0.tar.gz
",No Upgrade is required.,
006,dbus-c++,N,NA,,Sreenivasulu,NA-Uptodate,NA,2024-11-25 0:00:00,2024-11-25 0:00:00,2024-11-25 0:00:00,"N
",2024-10-06 0:00:00,0.9.0,0.9.0,0.9.0,"Fedora Overview:

https://src.fedoraproject.org/rpms/dbus-c++
",0.9.0,"URL:

https://sourceforge.net/projects/dbus-cplusplus/

https://master.dl.sourceforge.net/project/dbus-cplusplus/dbus-c%2B%2B/0.9.0/libdbus-c---0.9.0-doc.tar.bz2","3.0-dev Daily Build status  is 'No'
No Upgrade is required.

",
007,dbxtool,N,NA,,Sreenivasulu,NA-Uptodate,NA,2024-11-25 0:00:00,2024-11-25 0:00:00,2024-11-25 0:00:00,"N
",2024-10-06 0:00:00,8,8,---,"Fedpra Overview:

https://src.fedoraproject.org/rpms/dbxtool
",8,"github Source:

https://github.com/rhboot/dbxtool

https://github.com/rhboot/dbxtool/releases/download/dbxtool-8/dbxtool-8.tar.bz2
","3.0-dev Daily Build status  is 'No'
No Upgrade is required.
dead.package (Fedora 41)",
008,dcraw,N,NA,,Sreenivasulu,NA-Uptodate,NA,2024-10-08 0:00:00,2024-10-08 0:00:00,2024-10-08 0:00:00,"Y
",2024-10-06 0:00:00,9.28.0,9.28.0,9.28.0,"Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2490142

https://kojipkgs.fedoraproject.org//packages/dcraw/9.28.0/24.fc41/src/dcraw-9.28.0-24.fc41.src.rpm
",9.28.0,"URL:

https://www.dechifro.org/dcraw

https://www.dechifro.org/dcraw/archive/dcraw-9.28.0.tar.gz

",No Upgrade is required.,
009,deltarpm,Y,3.6.5,,Sreenivasulu,PR Raised,https://github.com/microsoft/azurelinux/pull/10922,2024-10-11 0:00:00,2024-10-14 0:00:00,2024-10-16 0:00:00,"Y
",2024-10-06 0:00:00,3.6.2,3.6.2,3.6.5,"Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2546467

https://kojipkgs.fedoraproject.org//packages/deltarpm/3.6.5/1.fc42/src/deltarpm-3.6.5-1.fc42.src.rpm
",3.6.5,"github source:

https://github.com/rpm-software-management/deltarpm

https://github.com/rpm-software-management/deltarpm/archive/3.6.5/delrarpm-3.6.5.tar.gz
",Upgraded to new version 3.6.5,https://github.com/microsoft/azurelinux/pull/10922
010,delve,Y,1.23.0,,Sreenivasulu,PR Raised,https://github.com/microsoft/azurelinux/pull/10923,2024-10-21 0:00:00,2024-11-04 0:00:00,2024-11-04 0:00:00,"Y
",2024-10-06 0:00:00,1.5.0,1.5.0,1.23.0,"Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2524230

https://kojipkgs.fedoraproject.org//packages/delve/1.23.0/2.fc41/src/delve-1.23.0-2.fc41.src.rpm
",1.23.0,"github Source:

https://github.com/go-delve/delve

https://github.com/go-delve/delve/archive/v1.23.0.tar.gz#/delve-1.23.0.tar.gz
",,
011,device-mapper-persistent-data,Y,1.0.12,,Sreenivasulu,Ongoing, ,2024-10-28 0:00:00,,2024-11-25 0:00:00,"Y
",2024-10-06 0:00:00,0.8.5,0.8.5,1.0.12,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2490227

https://kojipkgs.fedoraproject.org//packages/device-mapper-persistent-data/1.0.12/3.fc41/src/device-mapper-persistent-data-1.0.12-3.fc41.src.rpm",1.1.0,"github Source:

https://github.com/jthornber/thin-provisioning-tools/

https://github.com/jthornber/thin-provisioning-tools/archive/v1.1.0.tar.gz

",,
012,diffstat,Y,1.66,,Sreenivasulu,PR Approved,https://github.com/microsoft/azurelinux/pull/10920,2024-10-14 0:00:00,2024-10-14 0:00:00,2024-10-14 0:00:00,"Y
",2024-10-06 0:00:00,1.63,1.63,1.66,"Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2490275

https://kojipkgs.fedoraproject.org//packages/diffstat/1.66/2.fc41/src/diffstat-1.66-2.fc41.src.rpm
",1.66,"URL:

https://invisible-island.net/diffstat/

https://invisible-island.net/archives/diffstat/diffstat-1.66.tgz",Upgraded to new version 1.66,https://github.com/microsoft/azurelinux/pull/10920
013,discount,Y,2.2.7,,Sreenivasulu,PR Raised,https://github.com/microsoft/azurelinux/pull/10844,2024-10-23 0:00:00,2024-10-25 0:00:00,2024-10-25 0:00:00,"Y
",2024-10-06 0:00:00,2.2.4,2.2.4,2.2.7,"Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2490292

https://kojipkgs.fedoraproject.org//packages/discount/2.2.7/9.fc41/src/discount-2.2.7-9.fc41.src.rpm
",2.2.7,"URL:

https://www.pell.portland.or.us/~orc/Code/discount/

https://www.pell.portland.or.us/~orc/Code/discount/discount-2.2.7d.tar.bz2",,https://github.com/microsoft/azurelinux/pull/10844
014,dleyna-connector-dbus,N,NA,,Sreenivasulu,NA-Uptodate,NA,2024-11-25 0:00:00,2024-11-25 0:00:00,2024-11-25 0:00:00,"N
",2024-10-06 0:00:00,0.3.0,0.3.0,---,"Fedora Overview:

https://src.fedoraproject.org/rpms/dleyna-connector-dbus
",0.3.0,"github Source:

https://github.com/intel/dleyna-connector-dbus

https://github.com/intel/dleyna-connector-dbus/archive/refs/tags/0.3.0.tar.gz
","3.0-dev Daily Build status  is 'No'
No Upgrade is required.
dead.package (Fedora 41)",
015,dleyna-core,N,NA,,Sreenivasulu,NA-Uptodate,NA,2024-11-25 0:00:00,2024-11-25 0:00:00,2024-11-25 0:00:00,"N
",2024-10-06 0:00:00,0.6.0,0.6.0,---,"Fedora Overview:

https://src.fedoraproject.org/rpms/dleyna-core
",0.6.0,"github Source:

https://github.com/intel/dleyna-core4

https://github.com/intel/dleyna-core/archive/refs/tags/v0.6.0.tar.gz
","3.0-dev Daily Build status  is 'No'
No Upgrade is required.
dead.package (Fedora 41)",
016,dmraid,N,NA,,Sreenivasulu,NA-Uptodate,NA,2024-10-09 0:00:00,2024-10-09 0:00:00,2024-10-09 0:00:00,"Y
",2024-10-06 0:00:00,1.0.0.rc16,1.0.0.rc16,1.0.0.rc16,"Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2490328

https://kojipkgs.fedoraproject.org//packages/dmraid/1.0.0.rc16/60.fc41/src/dmraid-1.0.0.rc16-60.fc41.src.rpm
",1.0.0.rc16,https://people.redhat.com/heinzm/sw/dmraid/src/old/dmraid-1.0.0.rc16.tar.bz2,No Upgrade is required.,
017,docbook-simple,N,NA,,Sreenivasulu,NA-Uptodate,NA,2024-10-09 0:00:00,2024-10-09 0:00:00,2024-10-09 0:00:00,"Y
",2024-10-06 0:00:00,1.1,1.1,1.1,"Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2490353

https://kojipkgs.fedoraproject.org//packages/docbook-simple/1.1/33.fc41/src/docbook-simple-1.1-33.fc41.src.rpm
",1.1,"URL:
 http://www.oasis-open.org/docbook/xml/simple/

https://www.oasis-open.org/docbook/xml/simple/1.1/docbook-simple-1.1.zip

https://docbook.org/xml/simple/1.1/docbook-simple-1.1.zip

",No Upgrade is required.,
018,docbook-slides,N,NA,,Sreenivasulu,NA-Uptodate,NA,2024-10-09 0:00:00,2024-10-09 0:00:00,2024-10-09 0:00:00,"Y
",2024-10-06 0:00:00,3.4.0,3.4.0,3.4.0,"Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2490362

https://kojipkgs.fedoraproject.org//packages/docbook-slides/3.4.0/34.fc41/src/docbook-slides-3.4.0-34.fc41.src.rpm
",3.4.0,"URL:

https://sourceforge.net/projects/docbook/

http://downloads.sourceforge.net/docbook/docbook-slides-3.4.0.tar.gz
",No Upgrade is required.,
019,docbook-utils,N,NA,,Sreenivasulu,NA-Uptodate,NA,2024-10-09 0:00:00,2024-10-09 0:00:00,2024-10-09 0:00:00,"Y
","10/02/2024
10/06/2024",0.6.14,0.6.14,0.6.14,"Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2490363

https://kojipkgs.fedoraproject.org//packages/docbook-utils/0.6.14/62.fc41/src/docbook-utils-0.6.14-62.fc41.src.rpm
",0.6.14,"URL:

https://www.sourceware.org/docbook-tools/

https://www.linuxfromscratch.org/blfs/view/6.3/pst/docbook-utils.html

",No Upgrade is required.,
