S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
1,dogtail,N,NA, ,Sumit,NA-Uptodate, , , ,2024-10-25 0:00:00,Y,2024-10-09 0:00:00,0.9.11,0.9.11,0.9.11,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490374,1.0.2,https://gitlab.com/dogtail/dogtail,Not Proceeding with the upgrade process as the daily build is failing in the upstream pipeline, 
2,dotconf,Y,1.4.1, ,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/10752,2024-10-14 0:00:00,2024-10-16 0:00:00,2024-10-16 0:00:00,Y,2024-10-09 0:00:00,1.3,1.3,1.4.1,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490392,1.4.1,https://github.com/williamh/dotconf,Upgraded version to 1.4.1,https://github.com/microsoft/azurelinux/pull/10752
3,dovecot,Y,2.3.21.1, ,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/10859,2024-10-27 0:00:00,2024-10-27 0:00:00,2024-10-29 0:00:00,Y,2024-10-24 0:00:00,2.3.20,2.3.20,2.3.21.1,https://koji.fedoraproject.org/koji/buildinfo?buildID=2559018,2.3.21.1,https://github.com/dovecot/core,Moving with Update as the build Passed in the Later Builds.,
4,dpkg,Y,1.22.11, ,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/10832,2024-10-22 0:00:00,2024-10-24 0:00:00,2024-10-24 0:00:00,Y,2024-10-09 0:00:00,1.20.10,1.20.10,1.22.6,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490401,1.22.11,https://tracker.debian.org/pkg/dpkg,Removed from 3.0,https://github.com/microsoft/azurelinux/pull/10832
5,driverctl,Y,0.115, ,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/10833,2024-10-22 0:00:00,2024-10-24 0:00:00,2024-10-24 0:00:00,Y,2024-10-09 0:00:00,0.111,0.111,0.101,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490426,0.115,https://gitlab.com/driverctl/driverctl,,https://github.com/microsoft/azurelinux/pull/10833
6,dropwatch,Y,1.5.4, ,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/10842,2024-10-25 0:00:00,2024-10-25 0:00:00,2024-10-25 0:00:00,Y,2024-10-09 0:00:00,1.5.3,1.5.3,1.5.4,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490430,1.5.4,https://github.com/nhorman/dropwatch,,https://github.com/microsoft/azurelinux/pull/10842
7,drpm,Y,0.5.2, ,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/10847,2024-10-25 0:00:00,2024-10-25 0:00:00,2024-10-25 0:00:00,Y,2024-10-09 0:00:00,0.5.0,0.5.0,0.5.2,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490437,0.5.2,https://github.com/rpm-software-management/drpm,,https://github.com/microsoft/azurelinux/pull/10847
8,dumpet,N,NA, ,Sumit,NA-Uptodate, , , ,2024-10-16 0:00:00,Y,2024-10-09 0:00:00,2.1,2.1,2.1,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490470, , ,Not Upgrading since no active upstream is available., 
9,dvd+rw-tools,N,NA, ,Sumit,NA-Uptodate, , , ,2024-10-16 0:00:00,Y,2024-10-09 0:00:00,7.1,7.1,7.1,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490477,7.1,https://fy.chalmers.se/~appro/linux/DVD+RW/,No Upgrade needed, 
10,dyninst,Y,13.0.0, ,Sumit,Not Started, ,2024-11-04 0:00:00, , ,N,2024-11-14 0:00:00,10.1.0,10.1.0,12.3.0,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490501,13.0.0,https://github.com/dyninst/dyninst/tree/v13.0.0,, 
11,ecj,Y,4.33, ,Sumit,Ongoing, , , , ,Y,2024-10-09 0:00:00,4.12,4.12,4.23,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490532,4.33,https://www.eclipse.org/,, 
12,edac-utils,Y,0.18, ,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/10860,2024-10-25 0:00:00,2024-10-25 0:00:00,2024-10-28 0:00:00,Y,2024-10-09 0:00:00,0.16,0.16,0.18,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490545,0.18,https://github.com/grondo/edac-utils,,https://github.com/microsoft/azurelinux/pull/10860
13,efax,N,NA, ,Sumit,NA-Uptodate, , , ,2024-10-16 0:00:00,Y,2024-10-09 0:00:00,0.9a,0.9a,0.9a,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490558,0.9a,https://www.cce.com/efax/,No Upgrade needed, 
14,efi-rpm-macros,Y,5, ,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/10928,2024-10-29 0:00:00,2024-11-04 0:00:00,2024-11-04 0:00:00,Y,2024-10-09 0:00:00,4,4,5,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490561,6,https://github.com/rhboot/efi-rpm-macros,Not moving with the upstream version for upgrade as it has no release candidate,https://github.com/microsoft/azurelinux/pull/10928
15,egl-wayland,N,NA, ,Sumit,Not Started, , , , ,,,1.1.6,NA,1.1.17,https://koji.fedoraproject.org/koji/buildinfo?buildID=2562898,1.1.16,https://github.com/NVIDIA/egl-wayland,Not Proceeding with upgrade currently as the package has been moved to core, 
16,eglexternalplatform,N,NA, ,Sumit,Not Started, , , , ,,,1.1,NA,1.2,https://koji.fedoraproject.org/koji/buildinfo?buildID=2540826,1.2,https://github.com/NVIDIA/eglexternalplatform,Not Proceeding with upgrade currently as the package has been moved to core, 
17,elinks,Y,0.17.1.1, ,Sumit,Not Started, , , ,2024-11-24 0:00:00,N,2024-11-14 0:00:00,0.16.0,0.16.0,0.17.1.1,https://koji.fedoraproject.org/koji/buildinfo?buildID=2562888,0.17.1.1,https://github.com/rkd77/elinks,, 
18,enca,N,NA, ,Sumit,NA-Uptodate, , , ,2024-10-16 0:00:00,Y,2024-10-09 0:00:00,1.19,1.19,1.19,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490664,1.19,https://cihar.com/software/enca/,No Upgrade needed, 
19,enchant,Revisit,Revisit, ,Sumit,Not Started, , , ,2024-10-16 0:00:00,Y,2024-10-09 0:00:00,1.6.0,1.6.0,1.6.0,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490665,2.8.2,https://github.com/rrthomas/enchant,Needs to be discussed as the 1.x version is not currently being maintained but the development is continued over another package as enchant2., 
20,enscript,N,NA, ,Sumit,NA-Uptodate, , , ,2024-10-16 0:00:00,Y,2024-10-09 0:00:00,1.6.6,1.6.6,1.6.6,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490677,1.6.6,https://git.savannah.gnu.org/gitweb/?p=enscript.git,No Upgrade needed, 
21,evemu,N,NA, ,Sumit,NA-Uptodate, , , ,2024-10-16 0:00:00,Y,2024-10-09 0:00:00,2.7.0,2.7.0,2.7.0,https://koji.fedoraproject.org/koji/buildinfo?buildID=2490846,2.7.0,https://www.freedesktop.org/wiki/Evemu/,No Upgrade needed, 
22,ibus,Y,1.5.30,,Sumit,Ongoing,,,,2024-11-24 0:00:00,N,2024-11-14 0:00:00,1.5.22,1.5.22,1.5.30,https://koji.fedoraproject.org/koji/buildinfo?buildID=2529273,1.5.30,https://github.com/ibus/ibus/wiki,Needs to be discussed as the current stable version is 1.5.30 but the latest upstream version has a 1.5.31-beta2 which is also added to fedora.,
23,ibus-chewing,Y,2.1.2,,Sumit,Not Started,,,,2024-11-24 0:00:00,N,2024-11-14 0:00:00,1.6.1,1.6.1,2.1.2,https://koji.fedoraproject.org/koji/buildinfo?buildID=2563947,2.1.2,https://github.com/chewing/ibus-chewing, ,
24,ibus-hangul,Y,1.5.5,,Sumit,Not Started,,,,2024-11-24 0:00:00,N,2024-11-14 0:00:00,1.5.4,1.5.4,1.5.5,https://koji.fedoraproject.org/koji/buildinfo?buildID=2495198,1.5.5,https://github.com/libhangul/ibus-hangul,,
25,ibus-kkc,N,NA,,Sumit,NA-Uptodate,,,,2024-10-16 0:00:00,N,2024-10-16 0:00:00,1.5.22,1.5.22,1.5.22,https://koji.fedoraproject.org/koji/buildinfo?buildID=2495170,1.5.22,https://github.com/ueno/ibus-kkc,No Upgrade needed,
26,ibus-libzhuyin,Y,1.10.3,,Sumit,Not Started,,,,2024-11-24 0:00:00,N,2024-11-14 0:00:00,1.9.1,1.9.1,1.10.3,https://koji.fedoraproject.org/koji/buildinfo?buildID=2495189,1.10.3,https://github.com/libzhuyin/ibus-libzhuyin,,
27,ibus-m17n,Y,1.4.32,,Sumit,Not Started,,,,2024-11-24 0:00:00,N,2024-11-14 0:00:00,1.4.18,1.4.18,1.4.32,https://koji.fedoraproject.org/koji/buildinfo?buildID=2542736,1.4.32,https://github.com/ibus/ibus-m17n,,
28,ibus-rawcode,N,NA,,Sumit,NA-Uptodate,,,,2024-10-16 0:00:00,N,2024-10-16 0:00:00,1.3.2,1.3.2,1.3.2,,1.3.2,https://pagure.io/ibus-rawcode,No Upgrade needed. Need to discuss as the package as been orphaned by fedora.,
29,ibus-sayura,N,NA,,Sumit,NA-Uptodate,,,,2024-10-16 0:00:00,N,2024-10-16 0:00:00,1.3.2,1.3.2,1.3.2,https://koji.fedoraproject.org/koji/buildinfo?buildID=2495181,1.3.2,https://pagure.io/ibus-sayura,No Upgrade needed,
30,ibus-table,Y,1.17.8,,Sumit,Not Started,,,,2024-11-24 0:00:00,N,2024-11-14 0:00:00,1.12.4,1.12.4,1.17.8,https://koji.fedoraproject.org/koji/buildinfo?buildID=2544193,1.17.8,https://github.com/mike-fabian/ibus-table,,
31,ibus-table-chinese,Y,1.8.12,,Sumit,Not Started,,,,2024-11-24 0:00:00,N,2024-11-14 0:00:00,1.8.3,1.8.3,1.8.12,https://koji.fedoraproject.org/koji/buildinfo?buildID=2495178,1.8.12,https://github.com/mike-fabian/ibus-table-chinese,,
32,icc-profiles-openicc,N,NA,,Sumit,NA-Uptodate,,,,2024-10-16 0:00:00,Y,2024-10-16 0:00:00,1.3.1,1.3.1,1.3.1,https://koji.fedoraproject.org/koji/buildinfo?buildID=2495201,1.3.1,https://www.freedesktop.org/wiki/OpenIcc/,No Upgrade needed,
33,icon-naming-utils,N,NA,,Sumit,NA-Uptodate,,,,2024-10-16 0:00:00,Y,2024-10-16 0:00:00,0.8.90,0.8.90,0.8.90,https://koji.fedoraproject.org/koji/buildinfo?buildID=2495179,0.8.90,https://tango.freedesktop.org/Standard_Icon_Naming_Specification,No Upgrade needed,
34,iftop,N,NA,,Sumit,NA-Uptodate,,,,2024-10-16 0:00:00,Y,2024-10-16 0:00:00,1,1,1,https://koji.fedoraproject.org/koji/buildinfo?buildID=2495239,1,https://pdw.ex-parrot.com/iftop/,No Upgrade needed,
35,iio-sensor-proxy,Y,3.5,,Sumit,Not Started,,,,,Y,2024-10-16 0:00:00,3,3,3.5,https://koji.fedoraproject.org/koji/buildinfo?buildID=2495233,3.5,https://gitlab.freedesktop.org/hadess/iio-sensor-proxy/,Taken the latest Upstream as mentioned over older upstream repo.,
